comparison,axis,n_genes,genes,n_pos,n_neg,median_dep_pos,median_dep_neg,delta,mw_auc,p,FDR_within_comparison
RTR_top20_vs_bottom20_no_Bone_SoftTissue,DDR_CHK_ATR,9,CHEK1;CHEK2;ATR;ATM;WEE1;PARP1;BRCA1;BRCA2;RAD51,79,90,0.8549605064703696,0.8526356695292936,0.0023248369410759917,0.5324894514767933,0.4676689755449852,0.49884690724798425
RTR_high_removal_high_vs_other_all,HSP_proteostasis,13,HSP90AA1;HSP90AB1;HSPA5;HSPA8;HSPB1;HSPH1;HSF1;PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,93,376,0.9661233477210465,0.9861030783002909,-0.019979730579244404,0.46325211622054446,0.27238326958843107,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSP_proteostasis,13,HSP90AA1;HSP90AB1;HSPA5;HSPA8;HSPB1;HSPH1;HSF1;PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,80,361,0.9633797497867564,0.9859895904715591,-0.02260984068480265,0.44695290858725756,0.13756969300637742,0.49643601982698043
RTR_top20_vs_bottom20_all,HSP_proteostasis,13,HSP90AA1;HSP90AB1;HSPA5;HSPA8;HSPB1;HSPH1;HSF1;PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,95,92,0.9661233477210465,1.0193787411413793,-0.05325539342033281,0.40389016018306634,0.023286699111287407,0.06209786429676642
RTR_top20_vs_bottom20_no_Bone_SoftTissue,HSP_proteostasis,13,HSP90AA1;HSP90AB1;HSPA5;HSPA8;HSPB1;HSPH1;HSF1;PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,79,90,0.9661233477210465,1.0193787411413793,-0.05325539342033281,0.3943741209563995,0.01804308785982162,0.09622980191904863
RTR_high_removal_high_vs_other_all,nucleotide_antifolate,11,DHFR;TYMS;RRM1;RRM2;DCK;TK1;CAD;IMPDH1;IMPDH2;ATIC;GART,93,376,0.7832269543851123,0.833909226238561,-0.05068227185344876,0.469114619080302,0.3563092832639775,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,nucleotide_antifolate,11,DHFR;TYMS;RRM1;RRM2;DCK;TK1;CAD;IMPDH1;IMPDH2;ATIC;GART,80,361,0.8041119473742975,0.8347876792862248,-0.030675731911927295,0.48071329639889193,0.589495095011819,0.8574474109262821
RTR_top20_vs_bottom20_all,nucleotide_antifolate,11,DHFR;TYMS;RRM1;RRM2;DCK;TK1;CAD;IMPDH1;IMPDH2;ATIC;GART,95,92,0.7658237037120391,0.8528054899981982,-0.08698178628615905,0.40217391304347827,0.020930568585616472,0.06209786429676642
RTR_top20_vs_bottom20_no_Bone_SoftTissue,nucleotide_antifolate,11,DHFR;TYMS;RRM1;RRM2;DCK;TK1;CAD;IMPDH1;IMPDH2;ATIC;GART,79,90,0.7697439091600754,0.8528054899981982,-0.08306158083812276,0.41926863572433193,0.07075797702735238,0.21062319515807773
RTR_high_removal_high_vs_other_all,AKT_PI3K_survival,10,AKT1;AKT2;AKT3;PIK3CA;PIK3CB;PIK3CD;PTEN;MTOR;RICTOR;RPTOR,93,376,0.3275343667267058,0.2961138674084335,0.03142049931827229,0.6008350491878289,0.00259105668548489,0.04145690696775824
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AKT_PI3K_survival,10,AKT1;AKT2;AKT3;PIK3CA;PIK3CB;PIK3CD;PTEN;MTOR;RICTOR;RPTOR,80,361,0.32735230191494874,0.2953993243437546,0.03195297757119414,0.5961911357340719,0.007081410216650278,0.11330256346640445
RTR_top20_vs_bottom20_all,AKT_PI3K_survival,10,AKT1;AKT2;AKT3;PIK3CA;PIK3CB;PIK3CD;PTEN;MTOR;RICTOR;RPTOR,95,92,0.3241909045647283,0.3002406097585427,0.0239502948061856,0.5583524027459954,0.16854535291956985,0.3225472533136213
RTR_top20_vs_bottom20_no_Bone_SoftTissue,AKT_PI3K_survival,10,AKT1;AKT2;AKT3;PIK3CA;PIK3CB;PIK3CD;PTEN;MTOR;RICTOR;RPTOR,79,90,0.3225089694826123,0.3002406097585427,0.022268359724069597,0.5461322081575246,0.30211334006623003,0.46125876427701473
RTR_high_removal_high_vs_other_all,oxidative_stress_NRF2,8,KEAP1;NFE2L2;SOD1;SOD2;GPX4;GCLC;NQO1;TXNRD1,93,376,0.5564789300434119,0.5573457999818722,-0.0008668699384603018,0.4978837794555021,0.9499218515076479,0.9499218515076479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,oxidative_stress_NRF2,8,KEAP1;NFE2L2;SOD1;SOD2;GPX4;GCLC;NQO1;TXNRD1,80,361,0.5486336798322314,0.5461489910411288,0.0024846887911026405,0.4920706371191135,0.8246660585370003,0.9412834633826055
RTR_top20_vs_bottom20_all,oxidative_stress_NRF2,8,KEAP1;NFE2L2;SOD1;SOD2;GPX4;GCLC;NQO1;TXNRD1,95,92,0.587839996487813,0.5003477003978282,0.08749229608998488,0.6249427917620137,0.003180695224350217,0.04654780361448655
RTR_top20_vs_bottom20_no_Bone_SoftTissue,oxidative_stress_NRF2,8,KEAP1;NFE2L2;SOD1;SOD2;GPX4;GCLC;NQO1;TXNRD1,79,90,0.5563278489684629,0.5003477003978282,0.055980148570634714,0.5981715893108298,0.027967905879207965,0.11187162351683186
RTR_high_removal_high_vs_other_all,prior_DDR_checkpoint,8,ATM;ATR;CHEK1;CHEK2;BRCA1;BRCA2;RAD51;PARP1,93,376,0.6496788162530923,0.64839136386207,0.0012874523910223479,0.5243651338366506,0.4668602664143159,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,prior_DDR_checkpoint,8,ATM;ATR;CHEK1;CHEK2;BRCA1;BRCA2;RAD51;PARP1,80,361,0.6523307987310458,0.6469804235813276,0.005350375149718256,0.5547783933518005,0.12518199650347234,0.49643601982698043
RTR_top20_vs_bottom20_all,prior_DDR_checkpoint,8,ATM;ATR;CHEK1;CHEK2;BRCA1;BRCA2;RAD51;PARP1,95,92,0.6522275960005904,0.6423097054613698,0.009917890539220653,0.5456521739130434,0.2815150485984079,0.3464800598134251
RTR_top20_vs_bottom20_no_Bone_SoftTissue,prior_DDR_checkpoint,8,ATM;ATR;CHEK1;CHEK2;BRCA1;BRCA2;RAD51;PARP1,79,90,0.6496788162530923,0.6423097054613698,0.007369110791722533,0.5447257383966244,0.3171154004404476,0.46125876427701473
RTR_high_removal_high_vs_other_all,prior_apoptosis_core,7,BAX;BAK1;CASP3;CASP8;BCL2;BCL2L1;MCL1,93,376,0.2762619880062532,0.26650808265274756,0.00975390535350562,0.4964253031342942,0.9152778167850282,0.9499218515076479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,prior_apoptosis_core,7,BAX;BAK1;CASP3;CASP8;BCL2;BCL2L1;MCL1,80,361,0.27711426081510804,0.2668352112963019,0.01027904951880615,0.49442520775623267,0.8763352371109201,0.9412834633826055
RTR_top20_vs_bottom20_all,prior_apoptosis_core,7,BAX;BAK1;CASP3;CASP8;BCL2;BCL2L1;MCL1,95,92,0.2934428382523721,0.2618158201472127,0.03162701810515939,0.5458810068649886,0.27910724178995705,0.3464800598134251
RTR_top20_vs_bottom20_no_Bone_SoftTissue,prior_apoptosis_core,7,BAX;BAK1;CASP3;CASP8;BCL2;BCL2L1;MCL1,79,90,0.29526247066249844,0.2583674624507809,0.03689500821171754,0.5510548523206751,0.2533739376360339,0.45044255579739356
RTR_high_removal_high_vs_other_all,prior_cell_cycle_checkpoint,6,RB1;CDKN2A;CCND1;CDK4;CDK6;WEE1,93,376,0.8220738380238783,0.8203732129824326,0.0017006250414457469,0.47517730496453897,0.4585304134050755,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,prior_cell_cycle_checkpoint,6,RB1;CDKN2A;CCND1;CDK4;CDK6;WEE1,80,361,0.8204827255966198,0.8174489769782228,0.003033748618397003,0.47693905817174514,0.5187642835518954,0.8300228536830326
RTR_top20_vs_bottom20_all,prior_cell_cycle_checkpoint,6,RB1;CDKN2A;CCND1;CDK4;CDK6;WEE1,95,92,0.8309849414447804,0.8623208797888984,-0.031335938344117964,0.4513729977116704,0.2513049328796437,0.3464800598134251
RTR_top20_vs_bottom20_no_Bone_SoftTissue,prior_cell_cycle_checkpoint,6,RB1;CDKN2A;CCND1;CDK4;CDK6;WEE1,79,90,0.8249731470309998,0.8623208797888984,-0.0373477327578986,0.43192686357243315,0.12764648078203727,0.25529296156407455
RTR_high_removal_high_vs_other_all,prior_oncogenic_context,5,KRAS;MYC;MYCN;PIK3CA;PTEN,93,376,0.5831752363910124,0.5861411917939576,-0.0029659554029451973,0.4594200411805079,0.2254771095173974,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,prior_oncogenic_context,5,KRAS;MYC;MYCN;PIK3CA;PTEN,80,361,0.566977494398726,0.5877641456845246,-0.020786651285798596,0.44653739612188365,0.13451371154745068,0.49643601982698043
RTR_top20_vs_bottom20_all,prior_oncogenic_context,5,KRAS;MYC;MYCN;PIK3CA;PTEN,95,92,0.5467495395305431,0.6255300688640841,-0.07878052933354107,0.401487414187643,0.020047953263216386,0.06209786429676642
RTR_top20_vs_bottom20_no_Bone_SoftTissue,prior_oncogenic_context,5,KRAS;MYC;MYCN;PIK3CA;PTEN,79,90,0.5384498218394641,0.6268066956754142,-0.08835687383595014,0.3921237693389592,0.01572887197998419,0.09622980191904863
RTR_high_removal_high_vs_other_all,prior_oxidative_stress,7,KEAP1;NFE2L2;SOD1;SOD2;GPX4;GCLC;NQO1,93,376,0.5533690326731228,0.5518496319021944,0.0015194007709283808,0.49585335163578137,0.90173207084757,0.9499218515076479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,prior_oxidative_stress,7,KEAP1;NFE2L2;SOD1;SOD2;GPX4;GCLC;NQO1,80,361,0.5486606771630453,0.5443017239114182,0.004358953251627162,0.49210526315789477,0.8254209929432048,0.9412834633826055
RTR_top20_vs_bottom20_all,prior_oxidative_stress,7,KEAP1;NFE2L2;SOD1;SOD2;GPX4;GCLC;NQO1,95,92,0.5634751341109271,0.5206531253941189,0.04282200871680819,0.6037757437070939,0.01429508991442509,0.06209786429676642
RTR_top20_vs_bottom20_no_Bone_SoftTissue,prior_oxidative_stress,7,KEAP1;NFE2L2;SOD1;SOD2;GPX4;GCLC;NQO1,79,90,0.538061810859526,0.5206531253941189,0.01740868546540708,0.5784810126582278,0.07898369818427915,0.21062319515807773
RTR_high_removal_high_vs_other_all,prior_p53_decision,6,TP53;MDM2;MDM4;CDKN1A;BBC3;PMAIP1,93,376,0.0030914316613740674,0.008527314443623679,-0.005435882782249612,0.48590139556165635,0.6738750907869104,0.9499218515076479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,prior_p53_decision,6,TP53;MDM2;MDM4;CDKN1A;BBC3;PMAIP1,80,361,0.00938067137402605,0.009071556739354232,0.0003091146346718178,0.5018698060941827,0.9586305248434007,0.9586305248434007
RTR_top20_vs_bottom20_all,prior_p53_decision,6,TP53;MDM2;MDM4;CDKN1A;BBC3;PMAIP1,95,92,-0.000604971679020079,0.0037255469251848625,-0.0043305186042049415,0.4924485125858124,0.8595007012311605,0.8595007012311605
RTR_top20_vs_bottom20_no_Bone_SoftTissue,prior_p53_decision,6,TP53;MDM2;MDM4;CDKN1A;BBC3;PMAIP1,79,90,0.003064072829538635,0.0037255469251848625,-0.0006614740956462275,0.5101265822784811,0.8217554989861587,0.8217554989861587
RTR_high_removal_high_vs_other_all,prior_proteasome,6,PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,93,376,1.7026037535547947,1.701673376221395,0.0009303773333997345,0.46925760695493024,0.3585413608606626,0.7877542540801479
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,prior_proteasome,6,PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,80,361,1.695936098025057,1.704443662628659,-0.008507564603601914,0.4527700831024931,0.18616350743511767,0.49643601982698043
RTR_top20_vs_bottom20_all,prior_proteasome,6,PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,95,92,1.6445788981030391,1.7484400000616747,-0.10386110195863552,0.38318077803203665,0.005818475451810819,0.04654780361448655
RTR_top20_vs_bottom20_no_Bone_SoftTissue,prior_proteasome,6,PSMA1;PSMA2;PSMB5;PSMB7;PSMC1;PSMD1,79,90,1.6308981349274791,1.7524667290234288,-0.12156859409594967,0.3725738396624473,0.004329246847837389,0.06926794956539822
