dataset,analysis_group,n_compounds,count_basis,source_table,raw_data_scope
PRISM Primary selected,strict repair/protective,28,unique drug_key rows in source_primary_drug_level_measurable_proxies.csv,tables/S1_compound_annotations_contexts_TP53_RTR_FDR/source_primary_drug_level_measurable_proxies.csv,derived aggregate count only; raw PRISM Primary response data are not redistributed
PRISM Primary selected,broad repair/protective,266,unique drug_key rows in source_primary_drug_level_measurable_proxies.csv,tables/S1_compound_annotations_contexts_TP53_RTR_FDR/source_primary_drug_level_measurable_proxies.csv,derived aggregate count only; raw PRISM Primary response data are not redistributed
PRISM Primary selected,cytotoxic/removal-like,215,unique drug_key rows in source_primary_drug_level_measurable_proxies.csv,tables/S1_compound_annotations_contexts_TP53_RTR_FDR/source_primary_drug_level_measurable_proxies.csv,derived aggregate count only; raw PRISM Primary response data are not redistributed
PRISM Primary selected,other,4177,unique drug_key rows in source_primary_drug_level_measurable_proxies.csv,tables/S1_compound_annotations_contexts_TP53_RTR_FDR/source_primary_drug_level_measurable_proxies.csv,derived aggregate count only; raw PRISM Primary response data are not redistributed
