axis,n_datasets,n_positive_delta,n_FDR_lt_0_05,median_delta,median_mw_auc,min_FDR
KIF11_kinesin,4,4,4,0.5407965729549999,0.6574841653272508,2.898842831453468e-07
microtubule_tubulin,4,4,4,0.5445579954212499,0.6559124369419453,9.053917223267329e-06
apoptosis_IAP_BCL_MCL,4,4,4,0.10451559746762504,0.6425987612030154,1.0453623859299443e-07
DDR_ATR_CHK_WEE_PARP,4,4,4,0.20088534843850006,0.6423876743818151,1.031896952098224e-06
PLK_Aurora_mitotic_kinase,4,4,4,0.36958671864150006,0.6370522098593236,2.1851652534883808e-05
HSP90_proteostasis,4,4,4,0.29024694433874987,0.6218996148121076,0.0003434563060414
AKT_PI3K_mTOR_survival,4,4,3,0.16725594756024992,0.5744437340901661,0.0150849998024873
proteasome,4,3,0,0.022620318644229573,0.5383704031340831,0.1258429772803436
