candidate,repair_drug_key,refined_repair_risk_rank,PC_formula,final_PC_value,PC_table_value,PC_rank_within_four,PC_generation_record
L-ergothioneine,BRD-K26341917-001-01-3,0.9966,refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C,0.9966,0.997,1/4,rebuilt by analysis/17_rebuild_pc_descriptor.py from tables/S2_cancer_normal_evidence_table/source_repair_candidates_used.csv
Taurine,BRD-K51474575-001-10-4,0.8937,refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C,0.8937,0.894,2/4,rebuilt by analysis/17_rebuild_pc_descriptor.py from tables/S2_cancer_normal_evidence_table/source_repair_candidates_used.csv
Benfotiamine,BRD-K07359318-001-03-9,0.5271,refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C,0.5271,0.527,3/4,rebuilt by analysis/17_rebuild_pc_descriptor.py from tables/S2_cancer_normal_evidence_table/source_repair_candidates_used.csv
Trolox,BRD-A17846016-001-13-9,0.4238,refined_repair_risk_rank only; binary_repair_risk_rank is retained only as provenance and is not used in final P_C,0.4238,0.424,4/4,rebuilt by analysis/17_rebuild_pc_descriptor.py from tables/S2_cancer_normal_evidence_table/source_repair_candidates_used.csv
