analysis_group,n_values,n_cell_lines,n_drugs,median_auc,mean_auc,frac_auc_gt1
broad repair/protective,31436,480,75,0.9674250222720211,1.059347753149581,0.4498027738898079
cytotoxic/removal-like,71916,480,157,0.812594802031675,0.7987158591948572,0.19052783803326104
other,584295,480,1264,0.92162536807352,0.9708627554229008,0.3305658956520251
strict repair/protective,2545,480,6,1.13974582788894,1.1363274771941374,0.5952848722986247
