scenario,n_cell_lines,median_repair,median_cytotoxic,delta_of_medians,delta_of_medians_ci_low,delta_of_medians_ci_high,MW_AUC,MW_AUC_ci_low,MW_AUC_ci_high,p_value
broad_all_75,480,0.9702279471778362,0.8095302140784675,0.16069773309936874,0.15151551921397702,0.1718612422866006,0.9848394097222222,0.9776518012152778,0.9910720486111111,4.285088478351226e-149
broad_minus_glucocorticoid_49,480,0.9526264703661598,0.8095302140784675,0.1430962562876923,0.1374366716476787,0.1506466722719688,0.9830729166666666,0.9740711805555555,0.990703125,5.031657253786591e-148
broad_minus_anti_inflammatory_36,480,1.0631596760480626,0.8095302140784675,0.2536294619695951,0.23421084724978466,0.2810846186778541,0.9729166666666667,0.9615667317708333,0.9826476779513889,5.9784346714603586e-142
