analysis_group,drug_key,name,moa,target,support_term_found,matched_support_terms
cytotoxic/removal-like,BRD-K72951360-001-01-4,valrubicin,"DNA inhibitor, topoisomerase inhibitor",TOP2A,True,topoisomerase;dna
cytotoxic/removal-like,BRD-K62391742-001-03-0,venetoclax,BCL inhibitor,BCL2,True,bcl
cytotoxic/removal-like,BRD-K62391742-001-09-7,venetoclax,BCL inhibitor,BCL2,True,bcl
cytotoxic/removal-like,BRD-K42673188-001-01-1,verubulin,tubulin polymerization inhibitor,TUBB,True,tubulin
cytotoxic/removal-like,BRD-K06519765-065-01-6,vinblastine,"microtubule inhibitor, tubulin polymerization inhibitor","JUN, TUBA1A, TUBB, TUBD1, TUBE1, TUBG1",True,tubulin;microtubule;vinblastine
cytotoxic/removal-like,BRD-K12251893-065-04-7,vincristine,tubulin polymerization inhibitor,"TUBA4A, TUBB",True,tubulin
cytotoxic/removal-like,BRD-K59753975-001-02-6,vindesine,tubulin polymerization inhibitor,"TUBB, TUBB1",True,tubulin
cytotoxic/removal-like,BRD-K64120610-001-01-4,vinflunine,microtubule inhibitor,,True,microtubule
cytotoxic/removal-like,BRD-K69280563-001-01-8,vinorelbine,tubulin polymerization inhibitor,"TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8",True,tubulin
cytotoxic/removal-like,BRD-K23677682-003-01-2,voreloxin,topoisomerase inhibitor,TOP2A,True,topoisomerase
