scenario,n_cell_lines,median_repair,median_cytotoxic,delta_of_medians,MW_AUC,p_value
broad_all_75,480,0.9702279471778362,0.8095302140784675,0.1606977330993687,0.9848394097222222,2.142544239175613e-149
broad_minus_glucocorticoid_50,480,0.95218546689079,0.8095302140784675,0.1426552528123225,0.9832118055555557,2.073546907985274e-148
broad_minus_anti_inflammatory_36,480,1.063159676048063,0.8095302140784675,0.2536294619695951,0.9729166666666668,2.98921733573018e-142
