drug_key,name,moa,eqcl_group,median_auc,frac_auc_gt1,frac_auc_lt05,secondary_survival_preservation_score,median_logfc,frac_logfc_ge0,frac_logfc_lt_minus1,primary_survival_preservation_score,secondary_survival_preservation_score_rankpct,primary_survival_preservation_score_rankpct,combined_measurable_survival_score
BRD-A86044036-001-26-5,flurbiprofen-(+/-),cyclooxygenase inhibitor,broad repair/protective,,,,,0.205241743941,0.7442273534635879,0.0,0.577355420672794,,0.9013605442176872,0.9013605442176872
BRD-K10843433-001-23-5,phenylbutazone,"cyclooxygenase inhibitor, prostanoid receptor antagonist",broad repair/protective,,,,,0.1980124123984999,0.753731343283582,0.0,0.574878084040291,,0.8979591836734694,0.8979591836734694
BRD-A43082555-001-02-9,loxoprofen,"cyclooxygenase inhibitor, prostanoid receptor antagonist",broad repair/protective,,,,,0.196215495339,0.7521968365553603,0.0017574692442882,0.570995811683464,,0.8945578231292517,0.8945578231292517
BRD-K48892307-001-04-1,sasapyrine,NFkB pathway inhibitor,broad repair/protective,,,,,0.201554762341,0.7414721723518851,0.0053859964093357,0.5682513512099407,,0.891156462585034,0.891156462585034
BRD-A53151380-001-01-2,prednisolone-tebutate,anti-inflammatory agent,broad repair/protective,1.24184510911292,0.8294314381270903,0.0,1.656560828176465,0.277471143457,0.7680140597539543,0.0070298769771528,0.6562057656011125,0.825,0.95578231292517,0.890391156462585
BRD-A49447682-001-02-4,desoximetasone,glucocorticoid receptor agonist,broad repair/protective,,,,,0.219911043682,0.6959578207381371,0.0052724077328646,0.5639356482514201,,0.8877551020408163,0.8877551020408163
BRD-K06883221-001-01-9,apratastat,"matrix metalloprotease inhibitor, tumor necrosis factor production inhibitor",broad repair/protective,,,,,0.180919188398,0.7659963436928702,0.0,0.5639173602444351,,0.8843537414965986,0.8843537414965986
BRD-A65767837-001-04-4,hydrocortisone-acetate,glucocorticoid receptor agonist,broad repair/protective,,,,,0.209217957015,0.7152899824253075,0.0105448154657293,0.5589543366283567,,0.8809523809523809,0.8809523809523809
BRD-K51474575-001-10-4,taurine,antioxidant,strict repair/protective,1.25001150752326,0.8207792207792208,0.0,1.6604011179128704,0.229818164009,0.7221238938053097,0.0035398230088495,0.5882252436550176,0.8375,0.9149659863945578,0.876232993197279
BRD-A17407635-001-04-0,alclometasone-dipropionate,glucocorticoid receptor agonist,broad repair/protective,,,,,0.216346016924,0.7061946902654868,0.015929203539823,0.5574964594018761,,0.8741496598639455,0.8741496598639455
BRD-A36010170-001-04-0,amcinonide,glucocorticoid receptor agonist,broad repair/protective,,,,,0.224700901372,0.6783831282952548,0.0105448154657293,0.5559838539203303,,0.8707482993197279,0.8707482993197279
BRD-K50133271-001-18-7,tolfenamic-acid,"cyclooxygenase inhibitor, prostanoid receptor antagonist",broad repair/protective,,,,,0.188686179459,0.7324955116696589,0.0017953321364452,0.5535874361914954,,0.8639455782312925,0.8639455782312925
BRD-A94523291-304-02-7,prednisolone-sodium-phosphate,glucocorticoid receptor agonist,broad repair/protective,,,,,0.204315080883,0.7135325131810193,0.0105448154657293,0.5531727258742126,,0.8605442176870748,0.8605442176870748
BRD-K48826825-001-01-8,S26948,PPAR receptor agonist,broad repair/protective,1.3554050342217798,0.9560975609756096,0.0,1.833453814709585,0.13327900154,0.6428571428571429,0.0089285714285714,0.4480111443971429,0.9625,0.7585034013605442,0.8605017006802721
BRD-A86619021-001-04-8,andrographolide,tumor necrosis factor production inhibitor,broad repair/protective,,,,,0.225378943241,0.6748681898066784,0.0175746924428822,0.5496320188121776,,0.8571428571428571,0.8571428571428571
BRD-K60914966-001-01-4,etosalamide,anti-inflammatory agent,broad repair/protective,,,,,0.194195157976,0.7070175438596491,0.0035087719298245,0.5450723509584562,,0.8503401360544217,0.8503401360544217
BRD-K94239562-001-05-5,paeonol,anti-inflammatory agent,broad repair/protective,,,,,0.189686175163,0.7008849557522124,0.0017699115044247,0.5388012194107876,,0.8469387755102041,0.8469387755102041
BRD-K34032314-001-04-1,betamethasone-valerate,glucocorticoid receptor agonist,broad repair/protective,,,,,0.204821844446,0.6889279437609842,0.015817223198594,0.5374228989275466,,0.8435374149659864,0.8435374149659864
BRD-K87990216-001-10-2,piretanide,glucocorticoid receptor agonist,broad repair/protective,1.12871427091891,0.7159353348729792,0.0,1.4866819383553995,0.319350064671,0.8734622144112478,0.0017574692442882,0.7547630699434078,0.7,0.9863945578231292,0.8431972789115646
BRD-A08255417-001-14-7,famprofazone,cyclooxygenase inhibitor,broad repair/protective,,,,,0.1882166128205,0.6842105263157895,0.0070175438596491,0.5250587180836579,,0.8401360544217688,0.8401360544217688
BRD-K01902415-001-11-7,pirinixic-acid,PPAR receptor agonist,broad repair/protective,,,,,0.172629127197,0.69449378330373,0.0053285968028419,0.5158795712467336,,0.8333333333333334,0.8333333333333334
BRD-K37083340-001-02-3,lycopene,free radical scavenger,strict repair/protective,,,,,0.1722051208005,0.6802973977695167,0.0,0.5123538196852584,,0.826530612244898,0.826530612244898
BRD-K87202646-061-04-9,pasiniazid,cyclooxygenase inhibitor,broad repair/protective,,,,,0.160687944188,0.6906854130052724,0.0035149384885764,0.5033944468242039,,0.8231292517006803,0.8231292517006803
BRD-M63173034-001-03-6,clonixin-lysinate,cyclooxygenase inhibitor,broad repair/protective,,,,,0.142329944218,0.716636197440585,0.0,0.5006480429382925,,0.8197278911564626,0.8197278911564626
BRD-K46317332-003-17-8,proadifen,nitric oxide synthase inhibitor,broad repair/protective,,,,,0.157197718024,0.6912280701754386,0.0052631578947368,0.4988643846906667,,0.8163265306122449,0.8163265306122449
BRD-K45542189-048-22-1,diethylcarbamazine,lipoxygenase inhibitor,broad repair/protective,,,,,0.152916715503,0.6813380281690141,0.0,0.493585729587507,,0.8129251700680272,0.8129251700680272
BRD-K28120222-001-08-4,parthenolide-(alternate-stereo),NFkB pathway inhibitor,broad repair/protective,,,,,0.212382084361,0.6336283185840708,0.047787610619469,0.4933555356884336,,0.8095238095238095,0.8095238095238095
BRD-K68558722-001-04-0,deracoxib,cyclooxygenase inhibitor,broad repair/protective,,,,,0.161200789413,0.6666666666666666,0.0017543859649122,0.4932183332726491,,0.8061224489795918,0.8061224489795918
BRD-K54770957-001-04-3,etoricoxib,cyclooxygenase inhibitor,broad repair/protective,,,,,0.157213065781,0.6822262118491921,0.0161579892280071,0.4862076797845906,,0.8027210884353742,0.8027210884353742
BRD-K02637541-001-18-0,celecoxib,cyclooxygenase inhibitor,broad repair/protective,,,,,0.146331423084,0.6849557522123894,0.0035398230088495,0.4861544319335575,,0.7993197278911565,0.7993197278911565
BRD-K36660044-001-24-2,bufexamac,cyclooxygenase inhibitor,broad repair/protective,,,,,0.143930457549,0.6695957820738138,0.0017574692442882,0.4774102466526906,,0.7959183673469388,0.7959183673469388
BRD-K92116564-001-01-4,isoxepac,anti-inflammatory agent,broad repair/protective,,,,,0.144702824948,0.6654867256637168,0.0035398230088495,0.4747913205232212,,0.7925170068027211,0.7925170068027211
BRD-K95053546-001-02-7,tempol,free radical scavenger,strict repair/protective,,,,,0.153247016653,0.6536412078152753,0.0071047957371225,0.4747390237577957,,0.7891156462585034,0.7891156462585034
BRD-K70924353-001-01-2,amtolmetin-guacil,cyclooxygenase inhibitor,broad repair/protective,,,,,0.1446231805775,0.6538461538461539,0.0,0.4715462575005769,,0.7857142857142857,0.7857142857142857
BRD-A40639672-234-18-0,ketorolac,cyclooxygenase inhibitor,broad repair/protective,,,,,0.146944750852,0.6624775583482945,0.0089766606822262,0.4714510345144775,,0.782312925170068,0.782312925170068
BRD-K36970462-001-01-6,tonabersat,"gap junction modulator, nitric oxide production inhibitor",broad repair/protective,,,,,0.1300601147664999,0.676056338028169,0.0,0.4680882837805845,,0.7789115646258503,0.7789115646258503
BRD-K18059238-001-10-4,gamma-linolenic-acid,"cyclooxygenase inhibitor, prostanoid receptor agonist",broad repair/protective,,,,,0.126461401831,0.6854130052724078,0.0017574692442882,0.4678498025339877,,0.7755102040816326,0.7755102040816326
BRD-A71725768-001-01-3,metoxibutropate,cyclooxygenase inhibitor,broad repair/protective,1.379394810110285,0.985,0.0,1.871894810110285,0.02917868600855,0.5296167247386759,0.0034843205574912,0.2913738079597695,0.9875,0.5612244897959183,0.7743622448979592
BRD-K98372770-001-08-2,L-165041,PPAR receptor agonist,broad repair/protective,,,,,0.152209477666,0.6336283185840708,0.0017699115044247,0.4676962033297168,,0.7721088435374149,0.7721088435374149
BRD-K63550407-001-12-7,erythromycin,NFkB pathway inhibitor,broad repair/protective,,,,,0.1325417361195,0.6725352112676056,0.0017605633802816,0.4674889192180915,,0.7687074829931972,0.7687074829931972
BRD-A13946108-001-17-1,sulindac,cyclooxygenase inhibitor,broad repair/protective,,,,,0.141420931952,0.6637168141592921,0.0088495575221238,0.4666421708900531,,0.7653061224489796,0.7653061224489796
BRD-K04430056-001-17-7,7-nitroindazole,nitric oxide synthase inhibitor,broad repair/protective,,,,,0.1250796076135,0.6655052264808362,0.0034843205574912,0.4552189804357996,,0.7619047619047619,0.7619047619047619
BRD-K27293958-001-01-5,tiaramide,anti-inflammatory agent,broad repair/protective,,,,,0.0989143319013,0.6819012797074955,0.0,0.4398649717550477,,0.7551020408163265,0.7551020408163265
BRD-K39983086-001-06-1,loteprednol,"glucocorticoid receptor agonist, phospholipase inhibitor",broad repair/protective,,,,,0.158374493544,0.611969111969112,0.0444015444015444,0.4310578912273977,,0.7517006802721088,0.7517006802721088
BRD-K72327355-001-14-7,baicalein,lipoxygenase inhibitor,broad repair/protective,1.19965602131542,0.6938775510204082,0.0,1.546594796825624,0.135508702677,0.631858407079646,0.0460176991150442,0.4169246318805398,0.7625,0.7380952380952381,0.750297619047619
BRD-K86161929-001-13-3,cortisone-acetate,glucocorticoid receptor agonist,broad repair/protective,,,,,0.11303374357,0.632688927943761,0.0,0.4293782075418805,,0.7482993197278912,0.7482993197278912
BRD-A02180903-001-04-5,betamethasone,glucocorticoid receptor agonist,broad repair/protective,1.03592927936948,0.582089552238806,0.0024875621890547,1.3251083838470918,0.269890007312,0.7328646748681898,0.0140597539543057,0.6257775292803656,0.55,0.9455782312925172,0.7477891156462586
BRD-A34006693-001-15-4,suprofen,cyclooxygenase inhibitor,broad repair/protective,,,,,0.112750396794,0.6381461675579323,0.0053475935828877,0.4278127853858003,,0.7448979591836735,0.7448979591836735
BRD-K98763141-001-30-8,niflumic-acid,cyclooxygenase inhibitor,broad repair/protective,,,,,0.100742640838,0.6390845070422535,0.005281690140845,0.4163236267534929,,0.7346938775510204,0.7346938775510204
BRD-A38592941-001-02-7,timonacic,antioxidant,strict repair/protective,,,,,0.109558031489,0.6289198606271778,0.0104529616724738,0.4161782405482335,,0.7312925170068028,0.7312925170068028
BRD-K63550407-001-13-5,erythromycin,NFkB pathway inhibitor,broad repair/protective,,,,,0.107659060861,0.6263940520446096,0.0074349442379182,0.4152798787048661,,0.7278911564625851,0.7278911564625851
BRD-K54339150-001-01-8,proquazone,cyclooxygenase inhibitor,broad repair/protective,,,,,0.096871057401,0.6259124087591241,0.0018248175182481,0.4084586486418759,,0.7244897959183674,0.7244897959183674
BRD-K04710043-001-17-8,hexamethylenebisacetamide,"AKT inhibitor, differentiation inducer, NFKB pathway inhibitor",broad repair/protective,,,,,0.0956772149094,0.6240875912408759,0.0,0.4077210105298379,,0.7210884353741497,0.7210884353741497
BRD-K73771095-001-03-3,geniposidic-acid,cyclooxygenase inhibitor,broad repair/protective,,,,,0.104071085718,0.6035398230088496,0.0035398230088495,0.4031861299657876,,0.717687074829932,0.717687074829932
BRD-K85333151-003-13-4,ramifenazone,cyclooxygenase inhibitor,broad repair/protective,1.123705224446525,0.7172774869109948,0.0,1.4823439679020225,0.11191638995,0.6309090909090909,0.0109090909090909,0.4191891172227272,0.6875,0.7414965986394558,0.714498299319728
BRD-A72988804-001-11-1,tiaprofenic-acid,cyclooxygenase inhibitor,broad repair/protective,,,,,0.09095179566875,0.6131386861313869,0.0,0.3975211387344434,,0.7108843537414966,0.7108843537414966
BRD-K88219015-001-10-8,asaraldehyde,cyclooxygenase inhibitor,broad repair/protective,,,,,0.0937125212201,0.5978456014362658,0.0035906642728904,0.389942323733565,,0.7006802721088435,0.7006802721088435
BRD-K25394294-001-14-9,oxaprozin,cyclooxygenase inhibitor,broad repair/protective,,,,,0.0872600556459,0.6045296167247387,0.0017421602787456,0.3882182437992101,,0.6972789115646258,0.6972789115646258
BRD-K84173274-001-01-6,ufenamate,cyclooxygenase inhibitor,broad repair/protective,,,,,0.07265274384005,0.6131386861313869,0.0,0.3792220869057434,,0.6904761904761905,0.6904761904761905
BRD-A16296925-001-01-3,indobufen,"cyclooxygenase inhibitor, platelet aggregation inhibitor",broad repair/protective,,,,,0.0817712348866,0.6074600355239786,0.0088809946714031,0.3788405066450369,,0.6870748299319728,0.6870748299319728
BRD-K46523383-003-22-9,pramoxine,topical anesthetic,broad repair/protective,,,,,0.08338420313035,0.5964912280701754,0.0105263157894736,0.3737350803233324,,0.6836734693877551,0.6836734693877551
BRD-A44696962-001-01-4,acetyl-11-keto-beta-boswellic-acid,lipoxygenase inhibitor,broad repair/protective,,,,,0.077914923502,0.5957820738137083,0.0052724077328646,0.3718516546092056,,0.6802721088435374,0.6802721088435374
BRD-K06388517-001-01-2,lofemizole,cyclooxygenase inhibitor,broad repair/protective,,,,,0.07077315929875,0.6021897810218978,0.0018248175182481,0.3704994366710127,,0.6768707482993197,0.6768707482993197
BRD-A62731508-001-05-8,cortisone,glucocorticoid receptor agonist,broad repair/protective,,,,,0.0793483898945,0.5824561403508772,0.0035087719298245,0.3679448811225702,,0.673469387755102,0.673469387755102
BRD-K49738308-065-04-9,agmatine,nitric oxide synthase inhibitor,broad repair/protective,,,,,0.07964640473295,0.587360594795539,0.0074349442379182,0.3677504939522808,,0.6700680272108843,0.6700680272108843
BRD-K39339537-001-21-0,epirizole,cyclooxygenase inhibitor,broad repair/protective,,,,,0.0791070438651,0.5745062836624776,0.0071813285457809,0.360974189287003,,0.6666666666666666,0.6666666666666666
BRD-A78391468-001-02-8,prednisolone-hemisuccinate,glucocorticoid receptor agonist,broad repair/protective,0.956311049790512,0.4483516483516483,0.0,1.180486873966336,0.207505781435,0.6924428822495606,0.0105448154657293,0.5458186109604833,0.475,0.8537414965986394,0.6643707482993197
BRD-A68281735-001-18-6,REV-5901,"leukotriene receptor antagonist, lipoxygenase inhibitor",broad repair/protective,,,,,0.07643216310445,0.5786713286713286,0.0069930069930069,0.360523072195359,,0.6632653061224489,0.6632653061224489
BRD-K91740057-001-19-8,felbinac,cyclooxygenase inhibitor,broad repair/protective,,,,,0.0707165491319,0.5814360770577933,0.0035026269702276,0.3588076174331259,,0.6598639455782312,0.6598639455782312
BRD-K96194081-001-10-2,cepharanthine,NFkB pathway inhibitor,broad repair/protective,,,,,0.07925127701745,0.5749128919860628,0.0156794425087108,0.3549481411289483,,0.6564625850340136,0.6564625850340136
BRD-K38938675-001-01-4,morniflumate,anti-inflammatory agent,broad repair/protective,,,,,0.0694170773535,0.5843694493783304,0.0088809946714031,0.3549410560391128,,0.6530612244897959,0.6530612244897959
BRD-A92439610-001-05-7,triamcinolone-acetonide,"glucocorticoid receptor agonist, immunosuppressant",broad repair/protective,1.19848853188292,0.6646153846153846,0.0,1.5307962241906123,0.03073098325705,0.534965034965035,0.0227272727272727,0.2811680461941129,0.75,0.5510204081632653,0.6505102040816326
BRD-K59506194-015-04-9,targinine,nitric oxide synthase inhibitor,broad repair/protective,,,,,0.06144186633045,0.5769230769230769,0.0,0.3499034047919884,,0.6496598639455783,0.6496598639455783
BRD-K08188887-001-02-4,astragaloside-a,antiinflammatory agent,broad repair/protective,,,,,0.07836535095135,0.5620567375886525,0.0177304964539007,0.3460958474052507,,0.6462585034013606,0.6462585034013606
BRD-K60036103-003-01-6,L-NIL,nitric oxide synthase inhibitor,broad repair/protective,,,,,0.0603012527526,0.5782073813708261,0.0052724077328646,0.3454506376383645,,0.6428571428571429,0.6428571428571429
BRD-K55462201-001-07-3,AM-404,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist",broad repair/protective,0.954246956501895,0.348,0.0,1.1282469565018949,0.218984255278,0.70298769771529,0.0210896309314587,0.554660880937051,0.4125,0.8673469387755102,0.6399234693877551
BRD-K54496168-003-01-2,propacetamol,cyclooxygenase inhibitor,broad repair/protective,,,,,0.0578259645154,0.5772646536412078,0.0017761989342806,0.3451261421352934,,0.6394557823129252,0.6394557823129252
BRD-K06221026-001-06-8,DUP-697,cyclooxygenase inhibitor,broad repair/protective,,,,,0.05354909996985,0.5891608391608392,0.0069930069930069,0.3428847643055143,,0.6360544217687075,0.6360544217687075
BRD-K90629600-001-01-4,emorfazone,"antiinflammatory agent, cyclooxygenase inhibitor",broad repair/protective,,,,,0.05604991461385,0.5784671532846716,0.0036496350364963,0.3425462649788135,,0.6326530612244898,0.6326530612244898
BRD-K30237152-300-02-5,1400W,nitric oxide synthase inhibitor,broad repair/protective,,,,,0.0547001761695,0.5719360568383659,0.0017761989342806,0.3393360553879725,,0.6292517006802721,0.6292517006802721
BRD-A28318179-003-08-5,aminomethyltransferase,nitric oxide synthase inhibitor,broad repair/protective,,,,,0.0562828671745,0.5701754385964912,0.0035087719298245,0.3387390075253771,,0.6258503401360545,0.6258503401360545
BRD-A43082555-001-01-1,loxoprofen,"cyclooxygenase inhibitor, prostanoid receptor antagonist",broad repair/protective,,,,,0.0603677564205,0.5727109515260324,0.0125673249551166,0.3372977384671787,,0.6224489795918368,0.6224489795918368
BRD-A92177080-001-02-1,betamethasone-acetate,glucocorticoid receptor agonist,broad repair/protective,,,,,0.0560518819598,0.5656934306569343,0.0036496350364963,0.3361613710108949,,0.6190476190476191,0.6190476190476191
BRD-K61177364-003-02-9,NBI-27914,corticosteroid releasing factor receptor antagonist,broad repair/protective,,,,,0.0618743906191,0.5578947368421052,0.0070175438596491,0.3355586011454157,,0.6156462585034014,0.6156462585034014
BRD-A97739905-001-26-5,ketoprofen,cyclooxygenase inhibitor,broad repair/protective,0.9431602429291056,0.2995391705069124,0.0,1.0929298281825617,0.198460932044,0.7213114754098361,0.0018214936247723,0.5577505495303389,0.35,0.8775510204081632,0.6137755102040816
BRD-K97530723-001-20-9,melatonin,"melatonin receptor agonist, nitric oxide synthase inhibitor",broad repair/protective,,,,,0.0658190098253,0.5627177700348432,0.0156794425087108,0.3354183129611885,,0.6122448979591837,0.6122448979591837
BRD-K94353609-001-21-6,fluocinolone-acetonide,glucocorticoid receptor agonist,broad repair/protective,1.25909257087584,0.8109339407744874,0.0,1.6645595412630838,-0.0752986836815,0.437609841827768,0.0404217926186291,0.1131898927684121,0.85,0.3707482993197279,0.6103741496598639
BRD-A93683007-001-01-9,mabuprofen,cyclooxygenase inhibitor,broad repair/protective,,,,,0.05137498014975,0.5656934306569343,0.0,0.3342216954782172,,0.608843537414966,0.608843537414966
BRD-K66295376-001-13-1,ferulic-acid,antioxidant,strict repair/protective,,,,,0.04200771050035,0.5693430656934306,0.0018248175182481,0.3253106302083792,,0.6054421768707483,0.6054421768707483
BRD-K26901728-001-06-2,lumiracoxib,cyclooxygenase inhibitor,broad repair/protective,,,,,0.0503318091188,0.5586690017513135,0.010507880910683,0.3217853993114445,,0.6020408163265306,0.6020408163265306
BRD-K41524689-001-23-5,paracetamol,cyclooxygenase inhibitor,broad repair/protective,,,,,0.0432875499856,0.5673249551166966,0.0071813285457809,0.3215640311346125,,0.5986394557823129,0.5986394557823129
BRD-K36467523-001-02-8,bindarit,NFkB pathway inhibitor,broad repair/protective,1.106313029707405,0.7761194029850746,0.0,1.4943727311999424,-0.0196436180701,0.4866785079928952,0.0301953818827708,0.2010490995142694,0.725,0.4659863945578231,0.5954931972789116
BRD-K80076813-001-08-8,diftalone,cyclooxygenase inhibitor,broad repair/protective,,,,,0.0441136033901,0.5557586837294333,0.0018281535648994,0.320621830081142,,0.5918367346938775,0.5918367346938775
