dataset,value_metric,tp53_contrast,direction_note,value_level_n,value_level_beta_group_repair_vs_cytotoxic,value_level_beta_tp53,value_level_beta_interaction,value_level_se_interaction,value_level_t_interaction,value_level_p_interaction,cell_line_delta_n,cell_line_delta_n_tp53_contrast,cell_line_delta_n_reference,cell_line_delta_difference_tp53_minus_ref,cell_line_delta_MW_AUC_tp53_greater,cell_line_delta_p_value,value_level_fdr_interaction_within_dataset,cell_line_delta_fdr_within_dataset
secondary,auc,LoF_high_impact_vs_not_called,positive interaction means repair/protection-vs-cytotoxic survival gap is larger in TP53-positive contrast,103581,0.2546242550828815,0.01130955379425463,0.01670130372761161,0.004586141316158399,3.641689729177715,0.0002709863391439082,469,343,126,0.006495169656227928,0.53521680781156,0.2422227436864439,0.0005419726782878165,0.4844454873728878
secondary,auc,hotspot_vs_not_called,positive interaction means repair/protection-vs-cytotoxic survival gap is larger in TP53-positive contrast,30381,0.2546242550828819,0.005493225264558282,-0.0003923072954529899,0.01387339363164485,-0.02827767350002577,0.9774408732034898,137,11,126,0.00224544182034897,0.5541125541125541,0.5551234969922662,0.9774408732034898,0.5551234969922662
primary,logfold_change,LoF_high_impact_vs_not_called,positive interaction means repair/protection-vs-cytotoxic survival gap is larger in TP53-positive contrast,278665,0.94553395258738,-0.00333603643511704,0.02236434861255743,0.009500947578933664,2.353907168390827,0.01857794015756986,565,395,170,-0.008991918733600002,0.4711094564408042,0.2757986233865625,0.03715588031513972,0.5375192804834681
primary,logfold_change,hotspot_vs_not_called,positive interaction means repair/protection-vs-cytotoxic survival gap is larger in TP53-positive contrast,88888,0.94553395258738,-0.01901170884344487,0.005083964288609216,0.0290305138169016,0.1751248469343084,0.8609819338262215,183,13,170,0.04718169552184998,0.5515837104072399,0.5375192804834681,0.8609819338262215,0.5375192804834681
