drug_key,name,moa,target,eqcl_group,strict_repair,broad_repair,cytotoxic,n_cell_lines,median_logfc,mean_logfc,frac_logfc_ge0,frac_logfc_lt_minus1,frac_logfc_lt_minus05,primary_survival_preservation_score
BRD-K92988025-001-01-9,perflubron,contrast agent,,other,False,False,False,538,0.1005069531876,0.11356861615335082,0.6245353159851301,0.0037174721189591076,0.04460966542750929,0.40998650709094575
BRD-K92991072-001-04-9,PAC-1,caspase activator,CASP3,cytotoxic/removal-like,False,False,True,550,-0.1373246547725,-0.14969801619235812,0.40545454545454546,0.07272727272727272,0.25272727272727274,0.010857163409318187
BRD-K93034159-001-25-8,cladribine,"adenosine deaminase inhibitor, ribonucleotide reductase inhibitor","ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B",other,False,False,False,572,-2.75775945932,-2.7424176094812234,0.02097902097902098,0.9073426573426573,0.9527972027972028,-3.4277769418374824
BRD-K93035859-001-07-6,butylated-hydroxyanisole,antioxidant,,strict repair/protective,True,True,False,569,-0.00541069798937,-0.018888728589678844,0.4903339191564148,0.007029876977152899,0.0773286467486819,0.23448385385597273
BRD-K93045741-001-01-0,tozadenant,adenosine receptor antagonist,ADORA2A,other,False,False,False,571,-0.10823884899,-0.09284562639325314,0.4010507880910683,0.005253940455341506,0.12609457092819615,0.08834608971402803
BRD-K93123848-001-04-1,RAF265,"RAF inhibitor, VEGFR inhibitor",BRAF,other,False,False,False,571,-0.17820797187,-0.25716106861896165,0.425569176882662,0.19964973730297722,0.37828371278458844,-0.11516068640590194
BRD-K93176058-001-03-6,AC-55649,retinoid receptor agonist,"RARA, RARB",other,False,False,False,565,0.144676905495,0.13011152021958144,0.6442477876106195,0.0035398230088495575,0.05663716814159292,0.4641459320436726
BRD-K93188295-300-02-2,ARC-239,adrenergic receptor antagonist,"ADRA2A, ADRA2B, ADRA2C",other,False,False,False,571,-0.0402795904255,-0.06877379727736994,0.4500875656742557,0.017513134851138354,0.11033274956217162,0.17162934127327406
BRD-K93208532-001-02-5,apremilast,phosphodiesterase inhibitor,"PDE4A, PDE4B, PDE4C, PDE4D",other,False,False,False,574,0.21535435512849999,0.22910097901695206,0.7508710801393729,0.003484320557491289,0.036585365853658534,0.588176654780068
BRD-K93231391-300-05-6,ethambutol,bacterial cell wall synthesis inhibitor,,other,False,False,False,574,0.1895156530355,0.18760393106966286,0.6968641114982579,0.008710801393728223,0.04006968641114982,0.5314146077393328
BRD-K93240442-001-08-4,dinitolmide,,,other,False,False,False,569,0.209316201226,0.22397580444439785,0.7873462214411248,0.0017574692442882249,0.0210896309314587,0.6016712100133462
