component,n,median,mean,corr_with_RTR_spearman,corr_with_RTR_p,fdr_corr_with_RTR
combined_repair_preservation_rank,578,0.5035214821222607,0.5027792411489326,0.360792539516344,1.627e-20,1.627e-20
combined_removal_vulnerability_rank,578,0.5026420126874279,0.5013020677434418,0.6790831781119222,3.249e-109,1.300e-108
secondary_repair_preservation_rank,480,0.5010416666666666,0.5010416666666667,0.4716377892265157,1.371e-31,1.828e-31
secondary_removal_vulnerability_rank,480,0.5010416666666666,0.5010416666666667,0.543815092074377,1.453e-45,2.906e-45
