drug_key,name,moa,target,n_cell_lines_total,annotation_text,analysis_group,strict_repair,broad_repair,cytotoxic,source_dataset,is_definition_compound
BRD-K04430056-236-02-1,7-nitroindazole,nitric oxide synthase inhibitor,"NOS1, NOS2, NOS3",413,"7-nitroindazole | nitric oxide synthase inhibitor | nos1, nos2, nos3 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K55462201-001-07-3,AM-404,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist","CNR1, CNR2, FAAH, TRPV1",250,"am-404 | cyclooxygenase inhibitor, faah inhibitor, trpv antagonist | cnr1, cnr2, faah, trpv1 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K15025317-001-15-1,BAY-11-7082,NFkB pathway inhibitor,RELA,443,bay-11-7082 | nfkb pathway inhibitor | rela |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K48684885-001-04-2,BAY-11-7085,NFkB pathway inhibitor,NFKBIA,457,bay-11-7085 | nfkb pathway inhibitor | nfkbia |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K13566078-001-02-3,BMS-345541,IKK inhibitor,"CHUK, IKBKB",456,"bms-345541 | ikk inhibitor | chuk, ikbkb |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K68395654-001-03-1,EVP4593,NFkB pathway inhibitor,,465,evp4593 | nfkb pathway inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K38350380-001-01-8,FK-3311,cyclooxygenase inhibitor,PTGS2,460,fk-3311 | cyclooxygenase inhibitor | ptgs2 |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K30990140-003-02-4,FR-122047,cyclooxygenase inhibitor,,403,fr-122047 | cyclooxygenase inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K04923131-001-15-4,GSK-3-inhibitor-IX,"glycogen synthase kinase inhibitor, lipoxygenase inhibitor","GSK3A, GSK3B",449,"gsk-3-inhibitor-ix | glycogen synthase kinase inhibitor, lipoxygenase inhibitor | gsk3a, gsk3b |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K14880289-001-02-2,GW-501516,PPAR receptor agonist,"PPARA, PPARD",282,"gw-501516 | ppar receptor agonist | ppara, ppard |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K14618467-001-04-6,IKK-16,IKK inhibitor,IKBKB,462,ikk-16 | ikk inhibitor | ikbkb |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K74305673-001-06-2,IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",IKBKB,475,"ikk-2-inhibitor-v | ikk inhibitor, nfkb pathway inhibitor | ikbkb |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A53134341-001-03-2,Ro-106-9920,NFkB pathway inhibitor,,468,ro-106-9920 | nfkb pathway inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K48826825-001-01-8,S26948,PPAR receptor agonist,PPARG,410,s26948 | ppar receptor agonist | pparg |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K51575138-001-13-2,TPCA-1,IKK inhibitor,IKBKB,463,tpca-1 | ikk inhibitor | ikbkb |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K46585355-001-14-3,acetylsalicylsalicylic-acid,cyclooxygenase inhibitor,,441,acetylsalicylsalicylic-acid | cyclooxygenase inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K82122102-323-01-1,amfenac,cyclooxygenase inhibitor,"PTGS1, PTGS2",452,"amfenac | cyclooxygenase inhibitor | ptgs1, ptgs2 | neurology/psychiatry | pain relief",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K11433652-001-17-0,aspirin,cyclooxygenase inhibitor,"AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53",412,"aspirin | cyclooxygenase inhibitor | akr1c1, asic3, ednra, hspa5, ikbkb, nfkb1, nfkb2, nfkbia, prkaa1, prkaa2, prkab1, prkab2, prkag1, prkag2, prkag3, ptgs1, ptgs2, rps6ka3, tp53 | neurology/psychiatry, endocrinology, dental | headache, fever, toothache, muscle pain",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K36269323-300-02-6,asymmetrical-dimethylarginine,nitric oxide synthase inhibitor,"NOS2, NOS3",446,"asymmetrical-dimethylarginine | nitric oxide synthase inhibitor | nos2, nos3 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K72327355-001-14-7,baicalein,lipoxygenase inhibitor,"ALOX5, GLO1, PREP, SELL, SELP, TNF, XDH",441,"baicalein | lipoxygenase inhibitor | alox5, glo1, prep, sell, selp, tnf, xdh |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K97810537-001-13-6,beclomethasone-dipropionate,glucocorticoid receptor agonist,"GPR97, NR3C1",404,"beclomethasone-dipropionate | glucocorticoid receptor agonist | gpr97, nr3c1 | allergy | allergic rhinitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A02180903-001-04-5,betamethasone,glucocorticoid receptor agonist,NR3C1,402,betamethasone | glucocorticoid receptor agonist | nr3c1 | dermatology | corticosteroid-responsive dermatoses,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K58148589-001-03-6,betamethasone-dipropionate,anti-inflammatory agent,,452,betamethasone-dipropionate | anti-inflammatory agent |  | dermatology | corticosteroid-responsive dermatoses,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K36467523-001-02-8,bindarit,NFkB pathway inhibitor,"CCL2, CCL7, CCL8",402,"bindarit | nfkb pathway inhibitor | ccl2, ccl7, ccl8 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K09900591-001-26-7,caffeic-acid,"HIV integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor","ALOX5, MIF",433,"caffeic-acid | hiv integrase inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, tumor necrosis factor production inhibitor | alox5, mif |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K35245662-001-01-2,ciclesonide,glucocorticoid receptor agonist,"NR3C1, SERPINA6",407,"ciclesonide | glucocorticoid receptor agonist | nr3c1, serpina6 | allergy | allergic rhinitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A49358627-001-14-6,ciprofibrate,PPAR receptor agonist,PPARA,410,ciprofibrate | ppar receptor agonist | ppara | endocrinology | hyperlipidemia,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K10799896-001-26-2,clobetasol-propionate,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",424,"clobetasol-propionate | glucocorticoid receptor agonist | nr3c1, pla2g1b | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K38003476-001-09-1,clocortolone-pivalate,steroid,"NR3C1, PLA2G1B",236,"clocortolone-pivalate | steroid | nr3c1, pla2g1b | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K45252063-001-13-6,clofibrate,PPAR receptor agonist,"LPL, PPARA",351,"clofibrate | ppar receptor agonist | lpl, ppara | endocrinology, cardiology | hyperlipidemia, cholesterol",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K07572174-001-39-4,curcumin,"cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor","APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP3A4, DNMT3B, EP300, MMP13, MMP9, NOS2, PTGS1, PTGS2, XDH",457,"curcumin | cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, nfkb pathway inhibitor | app, ca1, ca12, ca14, ca2, ca4, ca6, ca9, cyp3a4, dnmt3b, ep300, mmp13, mmp9, nos2, ptgs1, ptgs2, xdh |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K96006502-001-02-6,deflazacort,glucocorticoid receptor agonist,NR3C1,438,deflazacort | glucocorticoid receptor agonist | nr3c1 | rheumatology | joint inflammation,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K21528677-001-02-8,desonide,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",450,"desonide | glucocorticoid receptor agonist | nr3c1, pla2g1b | gastroenterology | crohn's disease",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K47635719-001-21-1,dexamethasone-acetate,glucocorticoid receptor agonist,,348,"dexamethasone-acetate | glucocorticoid receptor agonist |  | endocrinology, rheumatology, allergy, gastroenterology, hematology, neurology/psychiatry, dermatology | hypercalcemia, rheumatoid arthritis, psoriatic arthritis, osteoarthritis, allergic rhinitis, ulcerative colitis, anemia, multiple sclerosis, enteritis, lupus, dermatitis herpetiformis (dh), nephrotic syndrome, psoriasis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K33720171-001-01-0,difluprednate,glucocorticoid receptor agonist,NR3C1,463,difluprednate | glucocorticoid receptor agonist | nr3c1 | ophthalmology | endogenous uveitis,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K65814004-003-02-9,diphenyleneiodonium,nitric oxide synthase inhibitor,"NOS2, NOS3",448,"diphenyleneiodonium | nitric oxide synthase inhibitor | nos2, nos3 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K50388907-001-30-4,fenofibrate,PPAR receptor agonist,"MMP25, PPARA",445,"fenofibrate | ppar receptor agonist | mmp25, ppara | endocrinology | hypercholesterolemia, hypertriglyceridemia",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A49765801-001-04-1,fludroxycortide,glucocorticoid receptor agonist,"NR3C1, SERPINA6",435,"fludroxycortide | glucocorticoid receptor agonist | nr3c1, serpina6 | infectious disease, dermatology | skin infections, psoriasis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K61496577-001-20-2,flumethasone,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",445,"flumethasone | glucocorticoid receptor agonist | nr3c1, pla2g1b | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A50064262-001-04-7,flumethasone-pivalate,glucocorticoid receptor agonist,"NR3C1, SERPINA6",416,"flumethasone-pivalate | glucocorticoid receptor agonist | nr3c1, serpina6 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K94353609-001-21-6,fluocinolone-acetonide,glucocorticoid receptor agonist,"NR3C1, SERPINA6",439,"fluocinolone-acetonide | glucocorticoid receptor agonist | nr3c1, serpina6 | dermatology | seborrheic dermatitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A13133631-001-04-0,fluorometholone,glucocorticoid receptor agonist,NR3C1,435,fluorometholone | glucocorticoid receptor agonist | nr3c1 | ophthalmology | eye inflammation,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K62310379-001-10-5,fluticasone-propionate,glucocorticoid receptor agonist,"NR3C1, NR3C2, PGR, PLA2G4A",378,"fluticasone-propionate | glucocorticoid receptor agonist | nr3c1, nr3c2, pgr, pla2g4a | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A88138582-001-04-8,halcinonide,glucocorticoid receptor agonist,NR3C1,413,halcinonide | glucocorticoid receptor agonist | nr3c1 | dermatology | corticosteroid-responsive dermatoses,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K65877271-001-01-8,halobetasol-propionate,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",449,"halobetasol-propionate | glucocorticoid receptor agonist | nr3c1, pla2g1b | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A51571244-001-01-9,hypoestoxide,IKK inhibitor,"IKBKB, IL1B, TNF",370,"hypoestoxide | ikk inhibitor | ikbkb, il1b, tnf |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A44090213-001-25-6,indoprofen,"cyclooxygenase inhibitor, prostanoid receptor antagonist","CXCR1, CXCR2, PTGS1, PTGS2",458,"indoprofen | cyclooxygenase inhibitor, prostanoid receptor antagonist | cxcr1, cxcr2, ptgs1, ptgs2 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A97739905-001-26-5,ketoprofen,cyclooxygenase inhibitor,"CXCR1, PTGS1, PTGS2, SLC5A8",434,"ketoprofen | cyclooxygenase inhibitor | cxcr1, ptgs1, ptgs2, slc5a8 | rheumatology | rheumatoid arthritis, osteoarthritis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A84174393-236-07-1,meloxicam,cyclooxygenase inhibitor,"PTGS1, PTGS2",434,"meloxicam | cyclooxygenase inhibitor | ptgs1, ptgs2 | rheumatology | osteoarthritis, rheumatoid arthritis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K35240538-001-26-2,methylprednisolone,glucocorticoid receptor agonist,NR3C1,398,"methylprednisolone | glucocorticoid receptor agonist | nr3c1 | endocrinology, rheumatology, dermatology, infectious disease, allergy, hematology, neurology/psychiatry, gastroenterology | hypercalcemia, thyroiditis, ankylosing spondylitis, bursitis, osteoarthritis, psoriatic arthritis, seborrheic dermatitis, mycosis, allergic rhinitis, psoriasis, anemia, multiple sclerosis, ulcerative colitis, enteritis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A71725768-001-01-3,metoxibutropate,cyclooxygenase inhibitor,"PTGS1, PTGS2",400,"metoxibutropate | cyclooxygenase inhibitor | ptgs1, ptgs2 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K59197931-001-04-5,naproxen,cyclooxygenase inhibitor,"PTGS1, PTGS2",292,"naproxen | cyclooxygenase inhibitor | ptgs1, ptgs2 | neurology/psychiatry, rheumatology, dental, otolaryngology, endocrinology | pain relief, rheumatoid arthritis, headache, toothache, backache, muscle pain, common cold, fever",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K66956375-001-11-3,oleoylethanolamide,"cannabinoid receptor agonist, glucose dependent insulinotropic receptor agonist, potassium channel blocker, PPAR receptor agonist","CNR1, GPR119, GPR55, PPARA",400,"oleoylethanolamide | cannabinoid receptor agonist, glucose dependent insulinotropic receptor agonist, potassium channel blocker, ppar receptor agonist | cnr1, gpr119, gpr55, ppara |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K98548675-001-05-9,parthenolide,NFkB pathway inhibitor,,396,parthenolide | nfkb pathway inhibitor |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K34851558-001-02-3,parthenolide-(-),NFkB pathway inhibitor,HDAC1,456,parthenolide-(-) | nfkb pathway inhibitor | hdac1 |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K46937689-001-15-0,phenazone,cyclooxygenase inhibitor,"PTGS1, PTGS2",393,"phenazone | cyclooxygenase inhibitor | ptgs1, ptgs2 | neurology/psychiatry | pain relief",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K10843433-001-22-7,phenylbutazone,"cyclooxygenase inhibitor, prostanoid receptor antagonist","PTGIS, PTGS1, PTGS2",402,"phenylbutazone | cyclooxygenase inhibitor, prostanoid receptor antagonist | ptgis, ptgs1, ptgs2 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K87990216-001-10-2,piretanide,glucocorticoid receptor agonist,"SLC12A1, SLC12A2",433,"piretanide | glucocorticoid receptor agonist | slc12a1, slc12a2 | cardiology | hypertension, edema",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A57382968-001-29-0,piroxicam,cyclooxygenase inhibitor,"PTGS1, PTGS2",415,"piroxicam | cyclooxygenase inhibitor | ptgs1, ptgs2 | rheumatology | osteoarthritis, rheumatoid arthritis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A12994259-001-02-1,pomalidomide,"angiogenesis inhibitor, tumor necrosis factor production inhibitor","CRBN, PTGS2, TNF",414,"pomalidomide | angiogenesis inhibitor, tumor necrosis factor production inhibitor | crbn, ptgs2, tnf | hematologic malignancy | multiple myeloma",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A27887842-001-04-0,prednisolone,glucocorticoid receptor agonist,"NR3C1, NR3C2, SERPINA6",391,"prednisolone | glucocorticoid receptor agonist | nr3c1, nr3c2, serpina6 | ophthalmology, dermatology, infectious disease | conjunctivitis, rosacea, punctate keratitis, shingles, iritis, cyclitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A01643550-001-04-9,prednisolone-acetate,glucocorticoid receptor agonist,NR3C1,398,"prednisolone-acetate | glucocorticoid receptor agonist | nr3c1 | ophthalmology, dermatology, infectious disease | conjunctivitis, rosacea, punctate keratitis, shingles, iritis, cyclitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A78391468-001-02-8,prednisolone-hemisuccinate,glucocorticoid receptor agonist,NR3C1,455,prednisolone-hemisuccinate | glucocorticoid receptor agonist | nr3c1 |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A53151380-001-01-2,prednisolone-tebutate,anti-inflammatory agent,,299,prednisolone-tebutate | anti-inflammatory agent |  |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K53097745-001-01-5,pterostilbene,"cyclooxygenase inhibitor, PPAR receptor agonist",PTGS2,380,"pterostilbene | cyclooxygenase inhibitor, ppar receptor agonist | ptgs2 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K85333151-003-13-4,ramifenazone,cyclooxygenase inhibitor,,382,"ramifenazone | cyclooxygenase inhibitor |  | neurology/psychiatry, endocrinology | pain relief, fever",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K31627533-001-09-5,rimexolone,glucocorticoid receptor agonist,"NR3C1, SERPINA6",420,"rimexolone | glucocorticoid receptor agonist | nr3c1, serpina6 | ophthalmology | anterior uveitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K03384561-001-02-7,roquinimex,"angiogenesis inhibitor, tumor necrosis factor production inhibitor",,408,"roquinimex | angiogenesis inhibitor, tumor necrosis factor production inhibitor |  |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K10670311-001-15-5,sulfasalazine,cyclooxygenase inhibitor,"ACAT1, ALOX5, CHUK, IKBKB, PLA2G1B, PPARG, PTGS1, PTGS2, SLC46A1, SLC7A11, TBXAS1",402,"sulfasalazine | cyclooxygenase inhibitor | acat1, alox5, chuk, ikbkb, pla2g1b, pparg, ptgs1, ptgs2, slc46a1, slc7a11, tbxas1 | gastroenterology | ulcerative colitis",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K78815826-001-14-6,suxibuzone,cyclooxygenase inhibitor,,454,"suxibuzone | cyclooxygenase inhibitor |  | rheumatology, neurology/psychiatry | joint pain, muscle pain",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K89714990-001-01-5,tepoxalin,"cyclooxygenase inhibitor, lipoxygenase inhibitor",ALOX5,479,"tepoxalin | cyclooxygenase inhibitor, lipoxygenase inhibitor | alox5 | rheumatology, orthopedics | rheumatoid arthritis, hip dysplasia",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K77554836-001-11-6,triamcinolone,glucocorticoid receptor agonist,"NR3C1, SERPINA6",426,"triamcinolone | glucocorticoid receptor agonist | nr3c1, serpina6 | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-A92439610-001-05-7,triamcinolone-acetonide,"glucocorticoid receptor agonist, immunosuppressant",NR3C1,325,"triamcinolone-acetonide | glucocorticoid receptor agonist, immunosuppressant | nr3c1 | dermatology | corticosteroid-responsive dermatoses",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K76973696-001-12-6,tryptanthrin,cyclooxygenase inhibitor,IDO1,474,tryptanthrin | cyclooxygenase inhibitor | ido1 |  | ,broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-U25960968-000-01-9,tyloxapol,NFkB pathway inhibitor,"LPL, NFKB2",301,"tyloxapol | nfkb pathway inhibitor | lpl, nfkb2 |  | ",broad repair/protective,False,True,False,PRISM Secondary dose-response,True
BRD-K63784565-001-06-2,10-hydroxycamptothecin,topoisomerase inhibitor,TOP1,462,10-hydroxycamptothecin | topoisomerase inhibitor | top1 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K61734568-003-02-1,"2,3-DCPE",Bcl-XL downregulator,BCL2L1,448,"2,3-dcpe | bcl-xl downregulator | bcl2l1 |  | ",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K08703257-001-12-1,3-amino-benzamide,PARP inhibitor,PARP1,361,3-amino-benzamide | parp inhibitor | parp1 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K08703257-001-13-9,3-amino-benzamide,PARP inhibitor,PARP1,417,3-amino-benzamide | parp inhibitor | parp1 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K56301217-001-07-4,ABT-737,BCL inhibitor,"BCL2, BCL2L1, BCL2L2",454,"abt-737 | bcl inhibitor | bcl2, bcl2l1, bcl2l2 |  | ",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K91623615-001-05-0,ABT-751,tubulin polymerization inhibitor,TUBB,463,abt-751 | tubulin polymerization inhibitor | tubb |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K00615600-001-12-9,AG-14361,PARP inhibitor,PARP1,413,ag-14361 | parp inhibitor | parp1 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K64925568-001-01-8,AMG-232,MDM inhibitor,MDM2,438,amg-232 | mdm inhibitor | mdm2 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K85014146-001-02-5,AZD2461,PARP inhibitor,,451,azd2461 | parp inhibitor |  |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K20468903-001-01-6,BNC105,tubulin polymerization inhibitor,,468,bnc105 | tubulin polymerization inhibitor |  |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K59929863-001-01-9,CB-10-277,DNA synthesis inhibitor,,428,cb-10-277 | dna synthesis inhibitor |  |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K79584249-001-01-3,CGM097,MDM inhibitor,MDM2,425,cgm097 | mdm inhibitor | mdm2 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K23363278-001-02-1,CYT-997,tubulin polymerization inhibitor,TUBB,468,cyt-997 | tubulin polymerization inhibitor | tubb |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K26997899-001-02-2,D-64131,microtubule inhibitor,TUBB,418,d-64131 | microtubule inhibitor | tubb |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K05444225-001-01-7,E7449,PARP inhibitor,"PARP1, PARP2, TNKS, TNKS2",461,"e7449 | parp inhibitor | parp1, parp2, tnks, tnks2 |  | ",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K18163608-001-05-6,HA14-1,BCL inhibitor,BCL2,442,ha14-1 | bcl inhibitor | bcl2 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K29968218-001-03-2,KX2-391,"src inhibitor, tubulin polymerization inhibitor",SRC,452,"kx2-391 | src inhibitor, tubulin polymerization inhibitor | src |  | ",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K60230970-001-17-5,MG-132,proteasome inhibitor,PSMB1,462,mg-132 | proteasome inhibitor | psmb1 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K99170882-001-04-3,NSC-319726,p53 activator,,458,nsc-319726 | p53 activator |  |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K60446698-001-01-2,ONX-0914,proteasome inhibitor,,463,onx-0914 | proteasome inhibitor |  |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K92991072-001-04-9,PAC-1,caspase activator,CASP3,454,pac-1 | caspase activator | casp3 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-A93477898-001-04-2,PETCM,caspase activator,CASP3,444,petcm | caspase activator | casp3 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K11853856-001-01-7,PJ-34,PARP inhibitor,"EEF2, PARP1, PARP15, PARP3",440,"pj-34 | parp inhibitor | eef2, parp1, parp15, parp3 |  | ",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K00317371-001-06-1,RITA,MDM inhibitor,MDM2,454,rita | mdm inhibitor | mdm2 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K89561498-001-01-7,SN-38,topoisomerase inhibitor,TOP1,320,sn-38 | topoisomerase inhibitor | top1 | oncology | colorectal cancer,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K09426783-300-01-0,TAS-103,topoisomerase inhibitor,TOP1,446,tas-103 | topoisomerase inhibitor | top1 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K20958582-001-01-4,TH-302,DNA alkylating agent,,399,th-302 | dna alkylating agent |  |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K28360340-001-08-3,TW-37,BCL inhibitor,"BCL2, BCL2L1, MCL1",462,"tw-37 | bcl inhibitor | bcl2, bcl2l1, mcl1 |  | ",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K26712974-001-01-5,VX-765,caspase inhibitor,CASP1,456,vx-765 | caspase inhibitor | casp1 |  | ,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K79131256-001-17-9,albendazole,tubulin polymerization inhibitor,"TUBA1A, TUBB, TUBB4B",442,"albendazole | tubulin polymerization inhibitor | tuba1a, tubb, tubb4b | infectious disease | cystic hydatid disease, parenchymal neurocysticercosis",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K67043667-001-26-4,altretamine,DNA synthesis inhibitor,,167,altretamine | dna synthesis inhibitor |  | oncology | ovarian cancer,cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K56334280-001-05-1,amonafide,topoisomerase inhibitor,"TOP2A, TOP2B",460,"amonafide | topoisomerase inhibitor | top2a, top2b |  | ",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
BRD-K68346641-001-01-4,amsacrine,topoisomerase inhibitor,"KCNH2, TOP2A",421,"amsacrine | topoisomerase inhibitor | kcnh2, top2a | hematologic malignancy | acute lymphoblastic leukemia (all), acute lymphoblastic leukemia (all)",cytotoxic/removal-like,False,False,True,PRISM Secondary dose-response,True
