broad_id,name,moa,target,axis_membership,n_datasets,n_positive_delta,n_FDR_lt_0_05,median_delta,median_mw_auc,min_FDR
BRD-K54256913-001-08-7,MK-1775,WEE1 kinase inhibitor,WEE1,DDR_ATR_CHK_WEE_PARP,4,4,3,0.4203555631750002,0.6379653203957818,6.972965389728538e-05
BRD-K41859756-001-06-8,NVP-AUY922,HSP inhibitor,"HSP90AA1, HSP90AB1",HSP90_proteostasis,4,4,3,0.3516406108775001,0.6340618803280652,0.0004748726009677
BRD-K68532323-003-02-8,SB-743921,kinesin-like spindle protein inhibitor,KIF11,KIF11_kinesin,4,4,3,0.366245768374018,0.6323189286373597,0.0001077200086604
BRD-K79131256-001-17-9,albendazole,tubulin polymerization inhibitor,"TUBA1A, TUBB, TUBB4B",microtubule_tubulin,4,4,3,0.37756951297749985,0.6292624068828035,6.959376922741783e-05
BRD-K06814349-304-02-7,fosbretabulin,"tubulin polymerization inhibitor, VE-cadherin antagonist",CDH5,microtubule_tubulin,3,3,3,0.494601101973,0.6271867516337216,0.0001526312902001
BRD-K20463415-300-01-4,LY2606368,CHK inhibitor,CHEK1,DDR_ATR_CHK_WEE_PARP,4,4,3,0.37256661703999994,0.6268327711165291,0.00038467789020734907
BRD-K69280563-001-01-8,vinorelbine,tubulin polymerization inhibitor,"TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8",microtubule_tubulin,4,4,3,0.5557872274000001,0.6259650205761317,0.0002515308876718
BRD-K52075715-001-06-7,oxibendazole,tubulin polymerization inhibitor,"TUBB, TUBB4B",microtubule_tubulin,4,4,3,0.4718624467275001,0.6248886642941521,6.97429686257909e-05
BRD-K30577245-341-01-9,docetaxel,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB, TUBB1",apoptosis_IAP_BCL_MCL;microtubule_tubulin,4,4,3,0.5006374596399998,0.6226001564104402,0.0001762032811384
BRD-K23363278-001-02-1,CYT-997,tubulin polymerization inhibitor,TUBB,microtubule_tubulin,4,4,3,0.3888456690250002,0.618620665923018,0.00227528007325
