group,within_group_rank_after_Bone_SoftTissue_exclusion,depmap_id,cell_line,lineage,Sex,RTR_score_combined_rank_0_1,XIAP_gene_effect,XIAP_dependency_score
bottom,68,ACH-000489,SW1116_LARGE_INTESTINE,Bowel,Male,0.1678200692041522,-0.16372424511599612,0.16372424511599612
bottom,69,ACH-000102,GMS10_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.1689950980392157,,
bottom,70,ACH-000350,COLO678_LARGE_INTESTINE,Bowel,Male,0.1712802768166089,0.0009699695321316593,-0.0009699695321316593
bottom,71,ACH-000875,NCIH2347_LUNG,Lung,Female,0.1715506055363321,,
bottom,72,ACH-000533,NCIH2004RT_SOFT_TISSUE,Kidney,Male,0.1730103806228373,0.13679615174590082,-0.13679615174590082
bottom,73,ACH-000762,YD38_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.1734032583621684,-0.06438973473693618,0.06438973473693618
bottom,74,ACH-000018,T24_URINARY_TRACT,Bladder/Urinary Tract,Female,0.1825836216839677,-0.06124038626598206,0.06124038626598206
bottom,75,ACH-000645,JL1_PLEURA,Pleura,Male,0.1833910034602076,0.0030490985236555287,-0.0030490985236555287
bottom,76,ACH-000420,SNU449_LIVER,Liver,Male,0.1874747693194925,0.04191888477705711,-0.04191888477705711
bottom,77,ACH-000305,ECGI10_OESOPHAGUS,Esophagus/Stomach,Male,0.1880370530565167,-0.07153193618401166,0.07153193618401166
bottom,78,ACH-000026,253JBV_URINARY_TRACT,Bladder/Urinary Tract,Male,0.1882893598615917,0.20801642697417513,-0.20801642697417513
bottom,79,ACH-000661,WM1799_SKIN,Skin,Male,0.1902970011534025,-0.1925274053478128,0.1925274053478128
bottom,80,ACH-000352,HCC1428_BREAST,Breast,Female,0.1913566897347174,0.12295842161879345,-0.12295842161879345
bottom,81,ACH-000652,SUIT2_PANCREAS,Pancreas,Male,0.192257785467128,0.05490449326627666,-0.05490449326627666
bottom,82,ACH-000679,OE19_OESOPHAGUS,Esophagus/Stomach,Male,0.1945898212226067,,
bottom,83,ACH-000855,KYSE150_OESOPHAGUS,Esophagus/Stomach,Female,0.1991637831603229,-0.011331186713321648,0.011331186713321648
bottom,84,ACH-001075,NCIH292_LUNG,Lung,Female,0.1992178489042675,0.12584305026012238,-0.12584305026012238
bottom,85,ACH-000313,KMRC3_KIDNEY,Kidney,Male,0.2008037773933102,0.061948612304246316,-0.061948612304246316
bottom,86,ACH-000836,YD15_SALIVARY_GLAND,Head and Neck,Male,0.2009587658592849,-0.10040888029781184,0.10040888029781184
bottom,87,ACH-000108,KP3_PANCREAS,Pancreas,Male,0.2029916378316032,0.012234717322690311,-0.012234717322690311
bottom,88,ACH-000227,KPNYN_AUTONOMIC_GANGLIA,Peripheral Nervous System,Male,0.2093425605536332,0.030060302152026798,-0.030060302152026798
bottom,89,ACH-000620,JHH1_LIVER,Liver,Male,0.2105500288350634,-0.07459308581057747,0.07459308581057747
bottom,90,ACH-000547,HT1197_URINARY_TRACT,Bladder/Urinary Tract,Male,0.2128027681660899,0.08721982696505756,-0.08721982696505756
bottom,91,ACH-000153,NCIH2052_PLEURA,Pleura,Male,0.2179642445213379,0.18051556090805435,-0.18051556090805435
bottom,92,ACH-000845,NCIH1373_LUNG,Lung,Male,0.2187031430219146,0.18496600426475585,-0.18496600426475585
bottom,93,ACH-000543,SNU489_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.2214532871972318,,
bottom,94,ACH-000723,YD10B_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.2230103806228373,,
bottom,95,ACH-000235,PANC0403_PANCREAS,Pancreas,Male,0.2247729238754325,0.029339040649921794,-0.029339040649921794
bottom,96,ACH-000915,IPC298_SKIN,Skin,Female,0.2251874279123414,-0.14348679313078763,0.14348679313078763
bottom,97,ACH-000548,BHY_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.2266435986159169,0.11155078804316307,-0.11155078804316307
bottom,98,ACH-000117,EFM192A_BREAST,Breast,Female,0.2289359861591695,,
bottom,99,ACH-000209,SNU1079_BILIARY_TRACT,Biliary Tract,Male,0.2327494232987312,-0.08208748907886232,0.08208748907886232
bottom,100,ACH-000189,RCC10RGB_KIDNEY,Kidney,Male,0.2397455305651672,-0.07890721085785041,0.07890721085785041
bottom,101,ACH-000593,BC3C_URINARY_TRACT,Bladder/Urinary Tract,Female,0.2411440311418685,0.05468154131870468,-0.05468154131870468
bottom,102,ACH-000223,HCC1937_BREAST,Breast,Female,0.2415477220299884,0.06681185474143875,-0.06681185474143875
bottom,103,ACH-000485,GSU_STOMACH,Esophagus/Stomach,Male,0.2422145328719723,0.16196805562425307,-0.16196805562425307
bottom,104,ACH-000367,NCIH226_LUNG,Pleura,Male,0.2437752306805075,0.08516174387098041,-0.08516174387098041
bottom,105,ACH-000882,IGR1_SKIN,Skin,Male,0.2460135524798154,-0.07170328229090417,0.07170328229090417
bottom,106,ACH-000814,HS939T_SKIN,Skin,Female,0.2467055940023068,,
bottom,107,ACH-000500,SNU46_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.2493872549019608,-0.053047225234328844,0.053047225234328844
bottom,108,ACH-000579,UACC257_SKIN,Skin,Unknown,0.2526275951557093,0.12377108845187795,-0.12377108845187795
bottom,109,ACH-000957,LS180_LARGE_INTESTINE,Bowel,Female,0.2527249134948097,-0.11283677762714672,0.11283677762714672
bottom,110,ACH-000994,HEC59_ENDOMETRIUM,Uterus,Female,0.2679462226066897,-0.09274581081874309,0.09274581081874309
bottom,111,ACH-000630,YD8_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Female,0.2711144752018454,0.050990337905830914,-0.050990337905830914
bottom,112,ACH-000717,COLO680N_OESOPHAGUS,Esophagus/Stomach,Female,0.2711613321799307,0.10615700546397822,-0.10615700546397822
bottom,113,ACH-000307,PK1_PANCREAS,Pancreas,Male,0.2727256343713956,0.012395389784032408,-0.012395389784032408
bottom,114,ACH-000510,NCIH1299_LUNG,Lung,Male,0.272862600922722,0.06535455704131232,-0.06535455704131232
