depmap_id,RTR_score_combined_rank_0_1,combined_RTR_quadrant,RTR_group
ACH-000366,0.8131487889273357,repair-high / removal-high,RTR_high_top20pct
ACH-000096,0.811652970011534,repair-low / removal-high,RTR_high_top20pct
ACH-001318,0.8095227797001154,repair-high / removal-high,RTR_high_top20pct
ACH-000885,0.804909169550173,repair-low / removal-high,RTR_high_top20pct
ACH-000666,0.8042856113033449,repair-high / removal-low,RTR_high_top20pct
ACH-000249,0.8027681660899654,repair-high / removal-high,RTR_high_top20pct
ACH-000264,0.8012759515570935,repair-low / removal-high,RTR_high_top20pct
ACH-001075,0.1992178489042675,repair-low / removal-low,RTR_low_bottom20pct
ACH-000855,0.1991637831603229,repair-high / removal-low,RTR_low_bottom20pct
ACH-000679,0.1945898212226067,repair-high / removal-low,RTR_low_bottom20pct
ACH-000359,0.1932093425605536,repair-low / removal-high,RTR_low_bottom20pct
ACH-000652,0.192257785467128,repair-low / removal-low,RTR_low_bottom20pct
ACH-000352,0.1913566897347174,repair-high / removal-low,RTR_low_bottom20pct
ACH-000661,0.1902970011534025,repair-low / removal-high,RTR_low_bottom20pct
ACH-000026,0.1882893598615917,repair-low / removal-low,RTR_low_bottom20pct
ACH-000305,0.1880370530565167,repair-low / removal-low,RTR_low_bottom20pct
ACH-000420,0.1874747693194925,repair-low / removal-low,RTR_low_bottom20pct
ACH-000645,0.1833910034602076,repair-low / removal-low,RTR_low_bottom20pct
ACH-000018,0.1825836216839677,repair-low / removal-low,RTR_low_bottom20pct
ACH-000762,0.1734032583621684,repair-low / removal-high,RTR_low_bottom20pct
ACH-000533,0.1730103806228373,repair-high / removal-low,RTR_low_bottom20pct
ACH-000875,0.1715506055363321,repair-low / removal-low,RTR_low_bottom20pct
ACH-000350,0.1712802768166089,repair-low / removal-low,RTR_low_bottom20pct
ACH-000102,0.1689950980392157,repair-high / removal-low,RTR_low_bottom20pct
ACH-000489,0.1678200692041522,repair-low / removal-low,RTR_low_bottom20pct
ACH-000719,0.1675641580161476,repair-low / removal-low,RTR_low_bottom20pct
ACH-000924,0.1645220588235294,repair-high / removal-low,RTR_low_bottom20pct
ACH-000443,0.1608996539792387,repair-high / removal-low,RTR_low_bottom20pct
ACH-000682,0.1573024798154556,repair-low / removal-high,RTR_low_bottom20pct
ACH-000753,0.1560661764705882,repair-low / removal-low,RTR_low_bottom20pct
ACH-000618,0.1560337370242214,repair-low / removal-low,RTR_low_bottom20pct
ACH-001163,0.1557093425605536,repair-high / removal-low,RTR_low_bottom20pct
ACH-000266,0.1548695213379469,repair-high / removal-low,RTR_low_bottom20pct
ACH-000562,0.1544802479815455,repair-low / removal-low,RTR_low_bottom20pct
ACH-000976,0.1467488465974625,repair-low / removal-low,RTR_low_bottom20pct
ACH-000205,0.1436707035755478,repair-low / removal-low,RTR_low_bottom20pct
ACH-000706,0.143598615916955,repair-low / removal-low,RTR_low_bottom20pct
ACH-000341,0.1418685121107266,repair-high / removal-low,RTR_low_bottom20pct
ACH-000552,0.1376369665513264,repair-low / removal-low,RTR_low_bottom20pct
ACH-000280,0.1371035178777393,repair-low / removal-high,RTR_low_bottom20pct
ACH-000539_FAILED_STR,0.1366782006920415,repair-low / removal-low,RTR_low_bottom20pct
ACH-001239,0.1357626874279123,repair-low / removal-low,RTR_low_bottom20pct
ACH-000417,0.1336829584775086,repair-low / removal-low,RTR_low_bottom20pct
ACH-001200,0.1314878892733564,repair-high / removal-low,RTR_low_bottom20pct
ACH-000457,0.1235113898500576,repair-low / removal-low,RTR_low_bottom20pct
ACH-000476,0.1214604959630911,repair-low / removal-low,RTR_low_bottom20pct
ACH-000945,0.1207215974625144,repair-low / removal-low,RTR_low_bottom20pct
ACH-000979,0.1133434256055363,repair-low / removal-low,RTR_low_bottom20pct
ACH-000256,0.1124567474048442,repair-high / removal-low,RTR_low_bottom20pct
ACH-000332,0.1085423875432526,repair-low / removal-low,RTR_low_bottom20pct
ACH-000428,0.1071619088811995,repair-low / removal-low,RTR_low_bottom20pct
ACH-000502,0.105503892733564,repair-low / removal-low,RTR_low_bottom20pct
ACH-000595,0.1052047289504037,repair-high / removal-low,RTR_low_bottom20pct
ACH-000488,0.1046027970011534,repair-low / removal-low,RTR_low_bottom20pct
ACH-000978,0.100493800461361,repair-high / removal-low,RTR_low_bottom20pct
ACH-000308,0.0978265570934256,repair-low / removal-low,RTR_low_bottom20pct
ACH-000941,0.0977544694348327,repair-low / removal-low,RTR_low_bottom20pct
ACH-000631,0.0968858131487889,repair-low / removal-low,RTR_low_bottom20pct
ACH-000212,0.0965181660899653,repair-low / removal-low,RTR_low_bottom20pct
ACH-000842,0.0931480680507497,repair-high / removal-low,RTR_low_bottom20pct
ACH-000644,0.0916955017301038,repair-low / removal-low,RTR_low_bottom20pct
ACH-000599,0.0891904555940023,repair-low / removal-low,RTR_low_bottom20pct
ACH-000409_FAILED_STR,0.088235294117647,repair-high / removal-low,RTR_low_bottom20pct
