Repair candidate,Removal axis,A_antagonism_prior,PairSI_with_A_penalty,PairSI_without_A_penalty,PairSI_delta_from_A,PairSI_interpretation
taurine,KIF11 / kinesin / spindle,0.36,-0.446,-0.086,-0.36,high-value risk test; do not call safe/selective without direct data
trolox,KIF11 / kinesin / spindle,0.36,0.144,0.504,-0.36,priority validation candidate; missing curated TN must be measured directly
benfotiamine,KIF11 / kinesin / spindle,0.36,-0.139,0.221,-0.36,high-value risk test; do not call safe/selective without direct data
L-ergothioneine,KIF11 / kinesin / spindle,0.36,-0.369,-0.009,-0.36,high-value risk test; do not call safe/selective without direct data
taurine,PLK / Aurora / mitotic checkpoint,0.36,-0.814,-0.454,-0.36,"comparator axis with high TN concern; useful as stress test, not lead safety claim"
