action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,_compound,_role,_axis_or_class,_filter_text,_normal_hits,_viability_hits,_cancer_hits,standard_value_uM,toxicity_bucket,curation_decision,curation_tier,curation_reason,normal_keyword_hits,viability_keyword_hits_curated,exclude_keyword_hits,activity_signal_curated
,inducer [+],10998525,[],CHEMBL2075094,"TP_TRANSPORTER: Western in vivo, kidney of SD rat",F,,,BAO_0000375,BAO_0000218,organism-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL2074267,FEBS Lett,1999.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,,1671025,,18,0,,,Activity,,,,CHEMBL2073676,Rattus norvegicus,ATP-binding cassette sub-family C member 2,10116,,,Activity,,,,,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,"tp_transporter: western in vivo, kidney of sd rat | f | activity |  | atp-binding cassette sub-family c member 2 | rattus norvegicus | organism-based format | chembl2074267",,atp,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\brat\b,\batp\b,,no_quantitative_value
,inducer [Decrease],11001099,[],CHEMBL2075710,TP_TRANSPORTER: Northern blot from primary hepatocytes,F,,,BAO_0000375,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL2074099,Cell Growth Differ,1995.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,,1671029,,18,0,,,Activity,,,,CHEMBL1075229,Rattus norvegicus,ATP-dependent translocase ABCB1,10116,,,Activity,,,,,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,tp_transporter: northern blot from primary hepatocytes | f | activity |  | atp-dependent translocase abcb1 | rattus norvegicus | cell-based format | chembl2074099,primary|hepatocyte,atp,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bprimary\b,\batp\b,,no_quantitative_value
,inducer [Decrease],11001100,[],CHEMBL2075271,"TP_TRANSPORTER: Western blot, primary hepatocytes",F,,,BAO_0000375,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL2074099,Cell Growth Differ,1995.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,,1671029,,18,0,,,Activity,,,,CHEMBL1075229,Rattus norvegicus,ATP-dependent translocase ABCB1,10116,,,Activity,,,,,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,"tp_transporter: western blot, primary hepatocytes | f | activity |  | atp-dependent translocase abcb1 | rattus norvegicus | cell-based format | chembl2074099",primary|hepatocyte,atp,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bprimary\b,\batp\b,,no_quantitative_value
,Non-toxic,13316493,[],CHEMBL2388276,Antiproliferative activity against rat IEC-18 cells at 10 uM after 24 hrs by MTT assay,A,,,BAO_0000375,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL2385003,J Nat Prod,2013.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,,1896958,,1,0,,,Activity,,,,CHEMBL612558,,ADMET,,,,Activity,,,,,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,antiproliferative activity against rat iec-18 cells at 10 um after 24 hrs by mtt assay | a | activity |  | admet |  | cell-based format | chembl2385003,,mtt,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\brat\b,\bmtt\b,,no_quantitative_value
,,14722200,[],CHEMBL3292951,Induction of apoptosis in mouse thymocytes assessed as internucleosomal DNA fragmentation at 1 uM after 24 hrs by agarose gel electrophoresis,F,,,BAO_0000375,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL3286163,Bioorg Med Chem,2014.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,,2117011,,1,0,,Active,Activity,,,,CHEMBL613302,,Thymocyte,,Active,,Activity,,,,,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,induction of apoptosis in mouse thymocytes assessed as internucleosomal dna fragmentation at 1 um after 24 hrs by agarose gel electrophoresis | f | activity |  | thymocyte |  | cell-based format | chembl3286163,,apoptosis,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,apoptosis,,no_quantitative_value
,,14753383,[],CHEMBL3299618,Cytotoxicity against mouse fibroblasts after 72 hrs by MTT assay,A,,,BAO_0000190,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL3297734,Eur J Med Chem,2014.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,http://www.openphacts.org/units/Nanomolar,2120192,>,1,1,>,,IC50,nM,,15000.0,CHEMBL612558,,ADMET,,,,IC50,uM,UO_0000065,,15.0,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,cytotoxicity against mouse fibroblasts after 72 hrs by mtt assay | a | ic50 | > | admet |  | cell-based format | chembl3297734,fibroblast,cytotoxic|cytotoxicity|mtt|toxicity,,15.0,moderate_toxicity_signal_le_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,cytotox|\bmtt\b,,no_toxicity_signal_or_lower_bound
,,14753389,[],CHEMBL3299619,Induction of apoptosis in mouse B16F10 cells assessed as necrotic cells at 10 uM after 48 hrs using FITC-annexin V-FITC/propidium iodide by flow cytometry (Rvb = 1.7%),F,,,BAO_0001103,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL3297734,Eur J Med Chem,2014.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,http://qudt.org/vocab/unit#Percent,2120192,=,1,0,=,,Activity,%,,1.3,CHEMBL612656,Mus musculus,B16-F10,10090,,,Activity,%,UO_0000187,,1.3,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,induction of apoptosis in mouse b16f10 cells assessed as necrotic cells at 10 um after 48 hrs using fitc-annexin v-fitc/propidium iodide by flow cytometry (rvb = 1.7%) | f | activity | = | b16-f10 | mus musculus | cell-based format | chembl3297734,,apoptosis,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,apoptosis,,no_quantitative_value
,,14753391,[],CHEMBL3299620,Induction of apoptosis in mouse B16F10 cells assessed as late apoptotic cells at 10 uM after 48 hrs using FITC-annexin V-FITC/propidium iodide by flow cytometry (Rvb = 2.5%),F,,,BAO_0001103,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL3297734,Eur J Med Chem,2014.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,http://qudt.org/vocab/unit#Percent,2120192,=,1,0,=,,Activity,%,,3.7,CHEMBL612656,Mus musculus,B16-F10,10090,,,Activity,%,UO_0000187,,3.7,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,induction of apoptosis in mouse b16f10 cells assessed as late apoptotic cells at 10 um after 48 hrs using fitc-annexin v-fitc/propidium iodide by flow cytometry (rvb = 2.5%) | f | activity | = | b16-f10 | mus musculus | cell-based format | chembl3297734,,apoptosis,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,apoptosis,,no_quantitative_value
,,14753393,[],CHEMBL3299777,Induction of apoptosis in mouse B16F10 cells assessed as early apoptotic cells at 10 uM after 48 hrs using FITC-annexin V-FITC/propidium iodide by flow cytometry (Rvb = 0.7%),F,,,BAO_0001103,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL3297734,Eur J Med Chem,2014.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,http://qudt.org/vocab/unit#Percent,2120192,=,1,0,=,,Activity,%,,0.8,CHEMBL612656,Mus musculus,B16-F10,10090,,,Activity,%,UO_0000187,,0.8,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,induction of apoptosis in mouse b16f10 cells assessed as early apoptotic cells at 10 um after 48 hrs using fitc-annexin v-fitc/propidium iodide by flow cytometry (rvb = 0.7%) | f | activity | = | b16-f10 | mus musculus | cell-based format | chembl3297734,,apoptosis,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,apoptosis,,no_quantitative_value
,,14753395,[],CHEMBL3299778,Induction of apoptosis in mouse B16F10 cells assessed as viable cells at 10 uM after 48 hrs using FITC-annexin V-FITC/propidium iodide by flow cytometry (Rvb = 95.1%),F,,,BAO_0001103,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL3297734,Eur J Med Chem,2014.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,http://qudt.org/vocab/unit#Percent,2120192,=,1,0,=,,Activity,%,,94.1,CHEMBL612656,Mus musculus,B16-F10,10090,,,Activity,%,UO_0000187,,94.1,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,induction of apoptosis in mouse b16f10 cells assessed as viable cells at 10 um after 48 hrs using fitc-annexin v-fitc/propidium iodide by flow cytometry (rvb = 95.1%) | f | activity | = | b16-f10 | mus musculus | cell-based format | chembl3297734,,apoptosis,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b,apoptosis,,no_quantitative_value
