action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,_compound,_role,_axis_or_class,_filter_text,_normal_hits,_viability_hits,_cancer_hits,standard_value_uM,toxicity_bucket,curation_decision,curation_tier,curation_reason,normal_keyword_hits,viability_keyword_hits_curated,exclude_keyword_hits,activity_signal_curated
,,2043025,[],CHEMBL941862,Cytotoxicity against rat L6 cells after 72 hrs,A,,,BAO_0000190,BAO_0000219,cell-based format,NCCS(=O)(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139805,Bioorg Med Chem,2007.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,678028,>,1,1,>,,IC50,ug.mL-1,,90.0,CHEMBL614793,Rattus norvegicus,L6,10116,,,IC50,ug ml-1,UO_0000274,,90.0,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,cytotoxicity against rat l6 cells after 72 hrs | a | ic50 | > | l6 | rattus norvegicus | cell-based format | chembl1139805,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\brat\b|\bl6 cells\b,cytotox,,no_quantitative_value
,,3490854,[],CHEMBL1266185,Inhibition of neurosphere proliferation of mouse neural precursor cells by MTT assay,F,,,BAO_0000201,BAO_0000019,assay format,NCCS(=O)(=O)O,,,CHEMBL1255231,Nat Chem Biol,2007.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://qudt.org/vocab/unit#Percent,957679,,1,0,,Not active,Inhibition,%,,,CHEMBL612545,,Unchecked,,Not Active,,INH,,UO_0000187,,,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,inhibition of neurosphere proliferation of mouse neural precursor cells by mtt assay | f | inhibition |  | unchecked |  | assay format | chembl1255231,,proliferation|mtt,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\bmouse\b|neural precursor|neurosphere,proliferation|\bmtt\b,,no_quantitative_value
,inactive,14008482,[],CHEMBL3214945,PubChem BioAssay. qHTS profiling of the MIPE4 collection as inhibitors of Plasmodium falciparum (3D7) proliferation.   (Class of assay: confirmatory) ,F,,,BAO_0000186,BAO_0000019,assay format,NCCS(=O)(=O)O,,,CHEMBL1201862,,,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://www.openphacts.org/units/Nanomolar,1486744,,7,1,,,Potency,nM,,1.1,CHEMBL3879801,,NON-PROTEIN TARGET,,,,Potency,uM,UO_0000065,,0.0011,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,pubchem bioassay. qhts profiling of the mipe4 collection as inhibitors of plasmodium falciparum (3d7) proliferation.   (class of assay: confirmatory)  | f | potency |  | non-protein target |  | assay format | chembl1201862,,proliferation,,0.0011,very_high_toxicity_signal_le_1uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_generic_pubchem_without_clear_normal_cell;exclude_no_clear_normal_like_cell_keyword,,proliferation,plasmodium|falciparum|pubchem bioassay|qhts|mipe|confirmatory,no_toxicity_signal_or_lower_bound
,inactive,14338519,[],CHEMBL3214813,PubChem BioAssay. qHTS profiling of the MIPE4 collection as inhibitors of Plasmodium falciparum (DD2) proliferation (Rep 2).   (Class of assay: confirmatory) ,F,,,BAO_0000186,BAO_0000019,assay format,NCCS(=O)(=O)O,,,CHEMBL1201862,,,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://www.openphacts.org/units/Nanomolar,1486744,,7,1,,,Potency,nM,,1332.4,CHEMBL3879801,,NON-PROTEIN TARGET,,,,Potency,uM,UO_0000065,,1.3324,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,pubchem bioassay. qhts profiling of the mipe4 collection as inhibitors of plasmodium falciparum (dd2) proliferation (rep 2).   (class of assay: confirmatory)  | f | potency |  | non-protein target |  | assay format | chembl1201862,,proliferation,,1.3324,high_toxicity_signal_le_10uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_generic_pubchem_without_clear_normal_cell;exclude_no_clear_normal_like_cell_keyword,,proliferation,plasmodium|falciparum|pubchem bioassay|qhts|mipe|confirmatory,no_toxicity_signal_or_lower_bound
,,18831182,[],CHEMBL4303805,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of Caco-2 cells at 10 uM after 48 hours by high content imaging,F,,,BAO_0000201,BAO_0000218,organism-based format,NCCS(=O)(=O)O,,,CHEMBL4303101,,2020.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://qudt.org/vocab/unit#Percent,3137680,=,52,1,=,,Inhibition,%,,1.2,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,Inhibition,%,UO_0000187,,1.2,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of caco-2 cells at 10 um after 48 hours by high content imaging | f | inhibition | = | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4303101,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_quantitative_value
,,20149600,[],CHEMBL4513082,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging,F,,,BAO_0000201,BAO_0000218,organism-based format,NCCS(=O)(=O)O,,,CHEMBL4495565,,2020.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://qudt.org/vocab/unit#Percent,3366301,=,52,1,=,,Inhibition,%,,-0.03,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,inhibition,%,UO_0000187,,-0.03,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of vero-6 cells at 10 um after 48 hours exposure to 0.01 moi sars cov-2 virus by high content imaging | f | inhibition | = | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4495565,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_quantitative_value
,,22077791,[],CHEMBL4513082,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging,F,,,BAO_0000201,BAO_0000218,organism-based format,NCCS(=O)(=O)O,,,CHEMBL4495565,,2020.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://qudt.org/vocab/unit#Percent,3366301,=,52,1,=,,Inhibition,%,,-0.03,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,inhibition,%,UO_0000187,,-0.03,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of vero-6 cells at 10 um after 48 hours exposure to 0.01 moi sars cov-2 virus by high content imaging | f | inhibition | = | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4495565,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_quantitative_value
,No. Measurements = 1,22082458,[],CHEMBL4651403,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging,F,,,BAO_0000190,BAO_0000218,organism-based format,NCCS(=O)(=O)O,,,CHEMBL4651402,,2021.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://www.openphacts.org/units/Nanomolar,3491009,>,57,1,>,,IC50,nM,,20000.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,M,UO_0000065,,0.00002,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of vero-6 cells at 10 um after 48 hours exposure to 0.01 moi sars cov-2 virus by high content imaging | f | ic50 | > | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4651402,,cytotoxic|cytotoxicity|toxicity,,20.0,moderate_toxicity_signal_le_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_toxicity_signal_or_lower_bound
,No. Measurements = 1,22082459,[],CHEMBL4651403,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging,F,,,BAO_0000190,BAO_0000218,organism-based format,NCCS(=O)(=O)O,,,CHEMBL4651402,,2021.0,,,CHEMBL239243,TAURINE,CHEMBL239243,,0,http://www.openphacts.org/units/Nanomolar,3491009,<,57,1,>,,IC50,nM,,19952.62,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,pIC50,,UO_0000065,,4.7,taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of vero-6 cells at 10 um after 48 hours exposure to 0.01 moi sars cov-2 virus by high content imaging | f | ic50 | > | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4651402,,cytotoxic|cytotoxicity|toxicity,,19.95262,moderate_toxicity_signal_le_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_toxicity_signal_or_lower_bound
,,453105,[],CHEMBL690545,Compound was evaluated for in vitro inhibition of proliferation measured by inhibition of [3H]thymidine incorporation by HMVEC-L cells,F,,,BAO_0000201,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1132417,J Med Chem,1999.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,http://qudt.org/vocab/unit#Percent,171313,=,1,1,=,,Inhibition,%,,20.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,Inhibition,%,UO_0000187,,20.0,trolox,repair_candidate,strict repair/protective; antioxidant probe,compound was evaluated for in vitro inhibition of proliferation measured by inhibition of [3h]thymidine incorporation by hmvec-l cells | f | inhibition | = | non-protein target |  | cell-based format | chembl1132417,,proliferation,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,proliferation,,no_quantitative_value
